# >> TraceSamples_fromPartTime0toPartTime7.pl <<
# >> Running at date: 13:37:38, Thu Jan 4, 2024
# >> Running directory: /home/apascual/Nextcloud/Research/Projects/FunctionalGroups/Repositories/ReplayEcology/src
# >> Zürich, ETH, A.P-G.
# >> Input file: ../7.1_classes/metadata_Time0D-7D-4M_May2022_wJSDpart-split.csv
# >> This output file: 
Rep1.Par1	Rep1.Par2	Rep2.Par1	Rep2.Par2	Rep3.Par1	Rep3.Par2	Rep4.Par1	Rep4.Par2
WP10	0.1	1.1	2.1	3.1	4.1
WYC41	0.3	1.1	2.1	3.1	4.1
WF06	0.4	1.1	2.1	3.1	4.1
WEL05	0.3	1.2	2.2	3.2	4.2
BB17	0.1	1.1	2.1	3.1	4.1
LW11	0.1	1.1	2.1	3.1	4.1
WYT43	0.1	1.1	2.1	3.1	4.1
WiW54	0.5	1.1	2.1	3.1	4.1
WYM33	0.3	1.1	2.1	3.1	4.1
WiW33	0.1	1.1	2.1	3.1	4.1
WYM02	0.1	1.1	2.1	3.1	4.1
WYT34	0.1	1.1	2.1	3.1	4.1
PH06	0.1	1.2	2.2	3.2	4.2
WiW28	0.4	1.1	2.1	3.1	4.1
WiW51	0.1	1.1	2.1	3.1	4.1
WYT45	0.1	1.1	2.1	3.1	4.1
WYT54	0.1	1.1	2.1	3.1	4.1
WYM39	0.4	1.1	2.1	3.1	4.1
BWd03	0.4	1.1	2.1	3.1	4.1
WiW40	0.1	1.1	2.1	3.1	4.1
BB35	0.4	1.1	2.1	3.1	4.1
OWW12	0.4	1.1	2.1	3.1	4.1
BB09	0.4	1.1	2.1	3.1	4.1
SAC15	0.3	1.2	2.2	3.2	4.2
PH02	0.1	1.2	2.2	3.2	4.2
OWW06	0.4	1.1	2.1	3.1	4.1
WYT44	0.1	1.1	2.1	3.1	4.1
OWW13	0.3	1.1	2.1	3.1	4.1
BB66	0.2	1.1	2.1	3.1	4.1
WiW13	0.1	1.1	2.1	3.1	4.1
WF02	0.4	1.1	2.1	3.1	4.1
PH15	0.3	1.2	2.2	3.2	4.2
WYT13	0.4	1.1	2.1	3.1	4.1
WYT61	0.4	1.1	2.1	3.1	4.1
BB19	0.3	1.1	2.1	3.1	4.1
BB22	0.3	1.1	2.1	3.1	4.1
WF05	0.4	1.1	2.1	3.1	4.1
BB15	0.3	1.1	2.1	3.1	4.1
WYT04	0.1	1.1	2.1	3.1	4.1
WYM25	0.3	1.1	2.1	3.1	4.1
WYT41	0.1	1.1	2.1	3.1	4.1
WEL09	0.3	1.2	2.2	3.2	4.2
WYT14	0.4	1.1	2.1	3.1	4.1
