1.1	1.2	2.1	2.2	3.1	3.2	4.1	4.2
1	86	6	84	10	85	9	82	11
2	7	14	4	17	4	17	5	15
3	34	41	31	44	27	46	36	38
4	84	2	78	8	76	10	73	13
5	5	5	4	6	3	7	6	4
6	0	0	0	0	0	0	0	0
