"run","day","filename","filename_fullpaths","sample_name","site","samplenumber_site","latlong","collection_date","inclusionexclusionreason"
"021216DR515F","day7","day7_B6.WiW42.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_B6.WiW42.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WiW42.4","WiW","42","51.4427 N 0.6017 W","2013-09-18","this study"
"021216DR515F","day7","day7_B6.WYT42.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_B6.WYT42.4_021216DR515FSAM1-92-pr_filt.fastq.gz","WYT42.4","WYT","42","51.7687 N 1.3291 W","2013-10-22","this study"
"021216DR515F","day7","day7_B7.SP04.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_B7.SP04.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","SP04.4","SP","4","51.4098 N 0.6464 W","2013-09-11","this study"
"021216DR515F","day7","day7_B7.WEL18.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_B7.WEL18.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","WEL18.4","WEL","18","50.9454 N 3.2104 W","2013-12-29","this study"
"021216DR515F","day7","day7_B7.WiW50.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_B7.WiW50.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WiW50.4","WiW","50","51.43 N 0.5944 W","2013-09-18","this study"
"021216DR515F","day7","day7_B7.WYT50.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_B7.WYT50.4_021216DR515FSAM1-92-pr_filt.fastq.gz","WYT50.4","WYT","50","51.7648 N 1.3278 W","2013-10-22","this study"
"021216DR515F","day7","day7_B8.SP03.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_B8.SP03.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","SP03.4","SP","3","51.082 N 0.6452 W","2013-09-11","this study"
"021216DR515F","day7","day7_B8.WEL26.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_B8.WEL26.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","WEL26.4","WEL","26","50.9451 N 3.2118 W","2013-12-29","this study"
"021216DR515F","day7","day7_B8.WYT58.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_B8.WYT58.4_021216DR515FSAM1-92-pr_filt.fastq.gz","WYT58.4","WYT","58","51.7687 N 1.3358 W","2013-10-22","this study"
"021216DR515F","day7","day7_B9.LW08.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_B9.LW08.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","LW08.4","LW","8","51.4245 N 0.6382 W","2013-09-12","this study"
"021216DR515F","day7","day7_B9.OWW02.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_B9.OWW02.4_021216DR515FSAM1-92-pr_filt.fastq.gz","OWW02.4","OWW","2","51.4503 N 0.5941 W","2013-09-26","this study"
"021216DR515F","day7","day7_B9.WP02.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_B9.WP02.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WP02.4","WP","2","51.3222 N 0.61572 W","2013-11-28","this study"
"021216DR515F","day7","day7_B9.WYM39.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_B9.WYM39.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","WYM39.4","WYM","39","51.7683 N 1.3329 W","2013-10-22","this study"
"021216DR515F","day7","day7_C1.CHE12.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_C1.CHE12.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","CHE12.4","CHE","12","50.928 N 3.4796 W","2013-12-28","this study"
"021216DR515F","day7","day7_C1.WiW03.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_C1.WiW03.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WiW03.4","WiW","3","51.4117 N 0.6208 W","2013-09-18","this study"
"021216DR515F","day7","day7_C1.WYT03.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_C1.WYT03.4_021216DR515FSAM1-92-pr_filt.fastq.gz","WYT03.4","WYT","3","51.7699 N 1.3299 W","2013-10-16","this study"
