"run","day","filename","filename_fullpaths","sample_name","site","samplenumber_site","latlong","collection_date","inclusionexclusionreason"
"021216DR515F","day7","day7_A1.OWW01.1_021216DR515FSAM1-91b-pr_filt.fastq.gz","3_filtered/day7_A1.OWW01.1_021216DR515FSAM1-91b-pr_filt.fastq.gz","OWW01.1","OWW","1","51.4503 N 0.5941 W","2013-09-26","this study"
"021216DR515F","day7","day7_A1.WiW01.1_021216DR515FSAM1-89a-pr_filt.fastq.gz","3_filtered/day7_A1.WiW01.1_021216DR515FSAM1-89a-pr_filt.fastq.gz","WiW01.1","WiW","1","51.4117 N 0.6208 W","2013-09-18","this study"
"021216DR515F","day7","day7_A1.WYM02.1_021216DR515FSAM1-96c-pr_filt.fastq.gz","3_filtered/day7_A1.WYM02.1_021216DR515FSAM1-96c-pr_filt.fastq.gz","WYM02.1","WYM","2","51.7697 N 1.3294 W","2013-10-22","this study"
"021216DR515F","day7","day7_A10.BB40.1_021216DR515FSAM1-96c-pr_filt.fastq.gz","3_filtered/day7_A10.BB40.1_021216DR515FSAM1-96c-pr_filt.fastq.gz","BB40.1","BB","40","51.5579 N 0.6309 W","2013-08-29","this study"
"021216DR515F","day7","day7_A10.PH01.1_021216DR515FSAM1-88a-pr_filt.fastq.gz","3_filtered/day7_A10.PH01.1_021216DR515FSAM1-88a-pr_filt.fastq.gz","PH01.1","PH","1","51.57306 N 0.81191 W","2013-12-07","this study"
"021216DR515F","day7","day7_A10.WP09.1_021216DR515FSAM1-89a-pr_filt.fastq.gz","3_filtered/day7_A10.WP09.1_021216DR515FSAM1-89a-pr_filt.fastq.gz","WP09.1","WP","9","51.324101 N 0.615783 W","2013-11-28","this study"
"021216DR515F","day7","day7_A10.WYT41.1_021216DR515FSAM1-91b-pr_filt.fastq.gz","3_filtered/day7_A10.WYT41.1_021216DR515FSAM1-91b-pr_filt.fastq.gz","WYT41.1","WYT","41","51.7687 N 1.3291 W","2013-10-22","this study"
"021216DR515F","day7","day7_A11.BB01.1_021216DR515FSAM1-96c-pr_filt.fastq.gz","3_filtered/day7_A11.BB01.1_021216DR515FSAM1-96c-pr_filt.fastq.gz","BB01.1","BB","1","51.5565 N 0.6335 W","2013-08-20","this study"
"021216DR515F","day7","day7_A11.PH09.1_021216DR515FSAM1-88a-pr_filt.fastq.gz","3_filtered/day7_A11.PH09.1_021216DR515FSAM1-88a-pr_filt.fastq.gz","PH09.1","PH","9","51.57212 N 0.81244 W","2013-12-07","this study"
"021216DR515F","day7","day7_A11.SAC01.1_021216DR515FSAM1-89a-pr_filt.fastq.gz","3_filtered/day7_A11.SAC01.1_021216DR515FSAM1-89a-pr_filt.fastq.gz","SAC01.1","SAC","1","51.76454 N 0.3351 W","2013-12-03","this study"
"021216DR515F","day7","day7_A11.WYT49.1_021216DR515FSAM1-91b-pr_filt.fastq.gz","3_filtered/day7_A11.WYT49.1_021216DR515FSAM1-91b-pr_filt.fastq.gz","WYT49.1","WYT","49","51.7648 N 1.3278 W","2013-10-22","this study"
"021216DR515F","day7","day7_A12.AE97.1_021216DR515FSAM1-96c-pr_filt.fastq.gz","3_filtered/day7_A12.AE97.1_021216DR515FSAM1-96c-pr_filt.fastq.gz","AE97.1","AE","97","51.79389 N 0.56033 W","2013-11-18","this study"
"021216DR515F","day7","day7_A12.PH17.1_021216DR515FSAM1-88a-pr_filt.fastq.gz","3_filtered/day7_A12.PH17.1_021216DR515FSAM1-88a-pr_filt.fastq.gz","PH17.1","PH","17","51.57016 N 0.81297 W","2013-12-07","this study"
"021216DR515F","day7","day7_A12.SAC09.1_021216DR515FSAM1-89a-pr_filt.fastq.gz","3_filtered/day7_A12.SAC09.1_021216DR515FSAM1-89a-pr_filt.fastq.gz","SAC09.1","SAC","9","51.76949 N 0.34862 W","2013-12-03","this study"
