"run","filename","filename_fullpaths","sample_name","inclusionexclusionreason"
"021216DR515F","day7_C1.Nov2.AE103.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_C1.Nov2.AE103.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.AE103.1.Com","scheuerl study"
"021216DR515F","day7_C10.Mix.BB22.1.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_C10.Mix.BB22.1.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","Mix.BB22.1.Bag","scheuerl study"
"021216DR515F","day7_C11.Mix.WYC41.1.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_C11.Mix.WYC41.1.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","Mix.WYC41.1.Bag","scheuerl study"
"021216DR515F","day7_C12.AE103.02.Iso_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_C12.AE103.02.Iso_021216DR515FSAM1-96b-pr_filt.fastq.gz","AE103.02.Iso","scheuerl study"
"021216DR515F","day7_C2.Nov2.BB22.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_C2.Nov2.BB22.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.BB22.1.Com","scheuerl study"
"021216DR515F","day7_C3.Nov2.SP02.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_C3.Nov2.SP02.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.SP02.1.Com","scheuerl study"
"021216DR515F","day7_C4.Nov2.SP03.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_C4.Nov2.SP03.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.SP03.1.Com","scheuerl study"
"021216DR515F","day7_C5.Nov2.SP04.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_C5.Nov2.SP04.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.SP04.1.Com","scheuerl study"
"021216DR515F","day7_C6.Nov2.WYC41.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_C6.Nov2.WYC41.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.WYC41.1.Com","scheuerl study"
"021216DR515F","day7_C7.Nov2.WYC42.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_C7.Nov2.WYC42.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.WYC42.1.Com","scheuerl study"
"021216DR515F","day7_C8.Nov2.WYM25.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_C8.Nov2.WYM25.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.WYM25.1.Com","scheuerl study"
"021216DR515F","day7_C9.Nov2.BB66.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_C9.Nov2.BB66.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.BB66.1.Com","scheuerl study"
"021216DR515F","day7_D1.Nov2.AE103.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_D1.Nov2.AE103.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.AE103.2.Com","scheuerl study"
"021216DR515F","day7_D10.Mix.BB22.2.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_D10.Mix.BB22.2.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","Mix.BB22.2.Bag","scheuerl study"
"021216DR515F","day7_D11.Mix.WYC41.2.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_D11.Mix.WYC41.2.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","Mix.WYC41.2.Bag","scheuerl study"
"021216DR515F","day7_D12.BB22.01.Iso_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_D12.BB22.01.Iso_021216DR515FSAM1-96b-pr_filt.fastq.gz","BB22.01.Iso","scheuerl study"
"021216DR515F","day7_D2.Nov2.BB22.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_D2.Nov2.BB22.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.BB22.2.Com","scheuerl study"
"021216DR515F","day7_D3.Nov2.SP02.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_D3.Nov2.SP02.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.SP02.2.Com","scheuerl study"
"021216DR515F","day7_D4.Nov2.SP03.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_D4.Nov2.SP03.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.SP03.2.Com","scheuerl study"
"021216DR515F","day7_D5.Nov2.SP04.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_D5.Nov2.SP04.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.SP04.2.Com","scheuerl study"
"021216DR515F","day7_D6.Nov2.WYC41.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_D6.Nov2.WYC41.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.WYC41.2.Com","scheuerl study"
