"X","filename","community","day","rep","seq.run","well"
34,"day0_A04.WYC09_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYC09",0,NA,"052214DR16s","A04"
36,"day0_A04.WYT67_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT67",0,NA,"052214DR16s","A04"
37,"day0_A05.AE01_052214DR16s-Sam321-400-pr_filt.fastq.gz","AE01",0,NA,"052214DR16s","A05"
38,"day0_A05.BB49_052214DR16s-Sam626-700-pr_filt.fastq.gz","BB49",0,NA,"052214DR16s","A05"
39,"day0_A05.BB73_052214DR16s-Sam701-775-pr_filt.fastq.gz","BB73",0,NA,"052214DR16s","A05"
40,"day0_A05.BB89_052214DR16s-Sam776-850-pr_filt.fastq.gz","BB89",0,NA,"052214DR16s","A05"
41,"day0_A05.BCW09_052214DR16s-Sam1-80-pr_filt.fastq.gz","BCW09",0,NA,"052214DR16s","A05"
42,"day0_A05.SP10_052214DR16s-Sam401-475-pr_filt.fastq.gz","SP10",0,NA,"052214DR16s","A05"
43,"day0_A05.WYC17_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYC17",0,NA,"052214DR16s","A05"
44,"day0_A05.WYC25_052214DR16s-Sam476-550_filt.fastq.gz","WYC25",0,NA,"052214DR16s","A05"
46,"day0_A06.AE89_052214DR16s-Sam776-850-pr_filt.fastq.gz","AE89",0,NA,"052214DR16s","A06"
47,"day0_A06.BB17_052214DR16s-SAM81-160-pr_filt.fastq.gz","BB17",0,NA,"052214DR16s","A06"
49,"day0_A06.BB81_052214DR16s-Sam701-775-pr_filt.fastq.gz","BB81",0,NA,"052214DR16s","A06"
50,"day0_A06.WGP01_052214DR16s-Sam321-400-pr_filt.fastq.gz","WGP01",0,NA,"052214DR16s","A06"
51,"day0_A06.WGP09_052214DR16s-Sam1-80-pr_filt.fastq.gz","WGP09",0,NA,"052214DR16s","A06"
52,"day0_A06.WYC33_052214DR16s-Sam476-550_filt.fastq.gz","WYC33",0,NA,"052214DR16s","A06"
55,"day0_A07.AE101_052214DR16s-Sam776-850-pr_filt.fastq.gz","AE101",0,NA,"052214DR16s","A07"
56,"day0_A07.AE65_052214DR16s-Sam626-700-pr_filt.fastq.gz","AE65",0,NA,"052214DR16s","A07"
57,"day0_A07.BB25_052214DR16s-SAM81-160-pr_filt.fastq.gz","BB25",0,NA,"052214DR16s","A07"
58,"day0_A07.PH09_052214DR16s-Sam476-550_filt.fastq.gz","PH09",0,NA,"052214DR16s","A07"
59,"day0_A07.WEL01_052214DR16s-Sam321-400-pr_filt.fastq.gz","WEL01",0,NA,"052214DR16s","A07"
60,"day0_A07.WEL01_052214DR16s-Sam401-475-pr_filt.fastq.gz","WEL01",0,NA,"052214DR16s","A07"
61,"day0_A07.WP01_052214DR16s-Sam1-80-pr_filt.fastq.gz","WP01",0,NA,"052214DR16s","A07"
63,"day0_A07.WYT57_052214DR16s-Sam701-775-pr_filt.fastq.gz","WYT57",0,NA,"052214DR16s","A07"
