"","community","day","rep","seq.run","well"
"130","BB02",0,NA,"052214DR16s","B01"
"131","BB28c",0,NA,"052214DR16s","B01"
"132","HW10",0,NA,"052214DR16s","B01"
"133","OWW10",0,NA,"052214DR16s","B01"
"134","WYM26",0,NA,"052214DR16s","B01"
"135","WYT02",0,NA,"052214DR16s","B01"
"136","WYT34",0,NA,"052214DR16s","B01"
"137","WYT96",0,NA,"052214DR16s","B01"
"138","AE58",0,NA,"052214DR16s","B02"
"139","BB10",0,NA,"052214DR16s","B02"
"140","BB52c",0,NA,"052214DR16s","B02"
"141","BCW02",0,NA,"052214DR16s","B02"
"142","BCW18",0,NA,"052214DR16s","B02"
"143","WiW18",0,NA,"052214DR16s","B02"
"144","WYM34",0,NA,"052214DR16s","B02"
"145","WYT104",0,NA,"052214DR16s","B02"
"146","WYT42",0,NA,"052214DR16s","B02"
"147","BB88c",0,NA,"052214DR16s","B03"
"148","BW02",0,NA,"052214DR16s","B03"
"149","SAC10",0,NA,"052214DR16s","B03"
"150","WGP18",0,NA,"052214DR16s","B03"
"151","WiW26",0,NA,"052214DR16s","B03"
"152","WYM42",0,NA,"052214DR16s","B03"
"153","WYT10",0,NA,"052214DR16s","B03"
"154","WYT112",0,NA,"052214DR16s","B03"
"155","WYT50",0,NA,"052214DR16s","B03"
"156","BB66",0,NA,"052214DR16s","B04"
"157","BW10",0,NA,"052214DR16s","B04"
"158","PH18",0,NA,"052214DR16s","B04"
"159","SAC02",0,NA,"052214DR16s","B04"
"160","SP06c",0,NA,"052214DR16s","B04"
"161","WiW34",0,NA,"052214DR16s","B04"
"162","WYC10",0,NA,"052214DR16s","B04"
"163","WYD10",0,NA,"052214DR16s","B04"
"164","WYT69",0,NA,"052214DR16s","B04"
"165","AE02",0,NA,"052214DR16s","B05"
"166","BB50",0,NA,"052214DR16s","B05"
"167","BB74",0,NA,"052214DR16s","B05"
"168","BB90",0,NA,"052214DR16s","B05"
"169","BCW10",0,NA,"052214DR16s","B05"
"170","SP11",0,NA,"052214DR16s","B05"
"171","WYC18",0,NA,"052214DR16s","B05"
"172","WYC26",0,NA,"052214DR16s","B05"
"173","WYC42c",0,NA,"052214DR16s","B05"
"174","AE90",0,NA,"052214DR16s","B06"
"175","BB18",0,NA,"052214DR16s","B06"
"176","BB58",0,NA,"052214DR16s","B06"
"177","BB82",0,NA,"052214DR16s","B06"
"178","WGP02",0,NA,"052214DR16s","B06"
"179","WGP10",0,NA,"052214DR16s","B06"
"180","WYC34",0,NA,"052214DR16s","B06"
"181","WYC42",0,NA,"052214DR16s","B06"
"182","WYM39c",0,NA,"052214DR16s","B06"
"183","AE102",0,NA,"052214DR16s","B07"
"184","AE66",0,NA,"052214DR16s","B07"
"185","BB26",0,NA,"052214DR16s","B07"
"186","PH10",0,NA,"052214DR16s","B07"
"187","WEL02",0,NA,"052214DR16s","B07"
"188","WEL02",0,NA,"052214DR16s","B07"
"189","WP02",0,NA,"052214DR16s","B07"
"190","WYD09c",0,NA,"052214DR16s","B07"
"191","WYT58",0,NA,"052214DR16s","B07"
"192","AE110",0,NA,"052214DR16s","B08"
"193","AE18",0,NA,"052214DR16s","B08"
"194","BB34",0,NA,"052214DR16s","B08"
"195","CHE04c",0,NA,"052214DR16s","B08"
"196","LW08",0,NA,"052214DR16s","B08"
"197","OWW02",0,NA,"052214DR16s","B08"
"198","WEL18",0,NA,"052214DR16s","B08"
"199","WiW26",0,NA,"052214DR16s","B08"
"200","WYT72",0,NA,"052214DR16s","B08"
"201","AE113",0,NA,"052214DR16s","B09"
"202","CHE12c",0,NA,"052214DR16s","B09"
"203","HW02",0,NA,"052214DR16s","B09"
"204","PH02",0,NA,"052214DR16s","B09"
"205","WiW02",0,NA,"052214DR16s","B09"
"206","WiW34",0,NA,"052214DR16s","B09"
"207","WYT116",0,NA,"052214DR16s","B09"
"208","WYT26",0,NA,"052214DR16s","B09"
"209","WYT80",0,NA,"052214DR16s","B09"
"210","KF",0,NA,"052214DR16s","B1"
"211","AE121",0,NA,"052214DR16s","B10"
"212","AE153",0,NA,"052214DR16s","B10"
"213","AE26",0,NA,"052214DR16s","B10"
"214","MU",0,NA,"052214DR16s","B10"
"215","WF02",0,NA,"052214DR16s","B10"
"216","WiW10",0,NA,"052214DR16s","B10"
"217","WiW42",0,NA,"052214DR16s","B10"
"218","WYM10",0,NA,"052214DR16s","B10"
"219","WYT11c",0,NA,"052214DR16s","B10"
"220","WYT88",0,NA,"052214DR16s","B10"
