"sample_name","library_ID","community","site","treehole_number_site","latlong","collection_date"
"day0_A06.BB81_052214DR16s-Sam701-775-pr_filt","day0_A06.BB81","BB81","BB","81","51.5611 N 0.6348 W",2013-08-29
"day0_A06.WGP01_052214DR16s-Sam321-400-pr_filt","day0_A06.WGP01","WGP01","WGP","1","51.4098 N 0.6219 W",2013-09-04
"day0_A06.WGP09_052214DR16s-Sam1-80-pr_filt","day0_A06.WGP09","WGP09","WGP","9","51.4099 N 0.6055 W",2013-09-04
"day0_A06.WYC33_052214DR16s-Sam476-550_filt","day0_A06.WYC33","WYC33","WYC","33","51.7685 N 1.336 W",2013-10-22
"day0_A06.WYC41_052214DR16s-Sam401-475-pr_filt","day0_A06.WYC41","WYC41","WYC","41","51.7685 N 1.336 W",2013-10-22
"day0_A07.AE101_052214DR16s-Sam776-850-pr_filt","day0_A07.AE101","AE101","AE","101","51.79484 N 0.56032 W",2013-11-18
"day0_A07.AE65_052214DR16s-Sam626-700-pr_filt","day0_A07.AE65","AE65","AE","65","51.77966 N 0.54385 W",2013-10-30
"day0_A07.BB25_052214DR16s-SAM81-160-pr_filt","day0_A07.BB25","BB25","BB","25","51.5604 N 0.6357 W",2013-08-20
"day0_A07.PH09_052214DR16s-Sam476-550_filt","day0_A07.PH09","PH09","PH","9","51.57212 N 0.81244 W",2013-12-07
"day0_A07.WEL01_052214DR16s-Sam321-400-pr_filt","day0_A07.WEL01","WEL01","WEL","1","50.9459 N 3.2072 W",2013-12-29
"day0_A07.WP01_052214DR16s-Sam1-80-pr_filt","day0_A07.WP01","WP01","WP","1","51.3222 N 0.61592 W",2013-11-28
"day0_A07.WYT57_052214DR16s-Sam701-775-pr_filt","day0_A07.WYT57","WYT57","WYT","57","51.7688 N 1.3345 W",2013-10-22
"day0_A08.AE109_052214DR16s-Sam851-925-pr_filt","day0_A08.AE109","AE109","AE","109","51.79537 N 0.56065 W",2013-11-18
"day0_A08.AE17_052214DR16s-Sam551-625-pr_filt","day0_A08.AE17","AE17","AE","17","51.78599 N 0.55237 W",2013-10-30
"day0_A08.BB33_052214DR16s-SAM81-160-pr_filt","day0_A08.BB33","BB33","BB","33","51.551 N 0.6327 W",2013-08-29
"day0_A08.LW07_052214DR16s-Sam1-80-pr_filt","day0_A08.LW07","LW07","LW","7","51.4241 N 0.6383 W",2013-09-12
"day0_A08.OWW01_052214DR16s-Sam321-400-pr_filt","day0_A08.OWW01","OWW01","OWW","1","51.4503 N 0.5941 W",2013-09-26
"day0_A08.WEL17_052214DR16s-Sam401-475-pr_filt","day0_A08.WEL17","WEL17","WEL","17","50.9454 N 3.2104 W",2013-12-29
"day0_A08.WYT71_052214DR16s-Sam626-700-pr_filt","day0_A08.WYT71","WYT71","WYT","71","51.7697 N 1.3348 W",2013-10-25
"day0_A09.AE112_052214DR16s-Sam851-925-pr_filt","day0_A09.AE112","AE112","AE","112","51.7962 N 0.5654 W",2013-11-21
"day0_A09.HW01_052214DR16s-Sam1-80-pr_filt","day0_A09.HW01","HW01","HW","1","51.58492 N 0.77896 W",2013-10-29
"day0_A09.PH01_052214DR16s-Sam161-240-pr_filt","day0_A09.PH01","PH01","PH","1","51.57306 N 0.81191 W",2013-12-07
"day0_A09.WiW01_052214DR16s-Sam321-400-pr_filt","day0_A09.WiW01","WiW01","WiW","1","51.4117 N 0.6208 W",2013-09-18
"day0_A09.WYT25_052214DR16s-Sam551-625-pr_filt","day0_A09.WYT25","WYT25","WYT","25","51.7694 N 1.3297 W",2013-10-22
"day0_A09.WYT79_052214DR16s-Sam626-700-pr_filt","day0_A09.WYT79","WYT79","WYT","79","51.7702 N 1.3366 W",2013-10-25
"day0_A10.AE120_052214DR16s-Sam851-925-pr_filt","day0_A10.AE120","AE120","AE","120","51.79706 N 0.56418 W",2013-11-21
