"sample_name","library_ID","community","site","treehole_number_site","latlong","collection_date"
"day0_F09.AE117_052214DR16s-Sam851-925-pr_filt","day0_F09.AE117","AE117","AE","117","51.7962 N 0.5654 W",2013-11-21
"day0_F09.BB46_052214DR16s-Sam401-475-pr_filt","day0_F09.BB46","BB46","BB","46","51.5581 N 0.63 W",2013-08-29
"day0_F09.HW06_052214DR16s-Sam1-80-pr_filt","day0_F09.HW06","HW06","HW","6","51.58433 N 0.77866 W",2013-10-29
"day0_F09.PH06_052214DR16s-Sam161-240-pr_filt","day0_F09.PH06","PH06","PH","6","51.5719 N 0.80964 W",2013-12-07
"day0_F09.WiW06_052214DR16s-Sam321-400-pr_filt","day0_F09.WiW06","WiW06","WiW","6","51.4381 N 0.6003 W",2013-09-18
"day0_F09.WYT30_052214DR16s-Sam551-625-pr_filt","day0_F09.WYT30","WYT30","WYT","30","51.7693 N 1.3294 W",2013-10-22
"day0_F09.WYT84_052214DR16s-Sam626-700-pr_filt","day0_F09.WYT84","WYT84","WYT","84","51.772 N 1.3378 W",2013-10-25
"day0_F10.AE125_052214DR16s-Sam851-925-pr_filt","day0_F10.AE125","AE125","AE","125","51.79782 N 0.5637 W",2013-11-21
"day0_F10.AE157_052214DR16s-Sam551-625-pr_filt","day0_F10.AE157","AE157","AE","157","51.79536 N 0.56172 W",2013-11-21
"day0_F10.AE30_052214DR16s-Sam161-240-pr_filt","day0_F10.AE30","AE30","AE","30","51.78548 N 0.55207 W",2013-10-30
"day0_F10.WF06_052214DR16s-Sam321-400-pr_filt","day0_F10.WF06","WF06","WF","6","51.4473 N 0.6383 W",2013-10-21
"day0_F10.WiW14_052214DR16s-Sam1-80-pr_filt","day0_F10.WiW14","WiW14","WiW","14","51.4412 N 0.5998 W",2013-09-18
"day0_F10.WiW46_052214DR16s-Sam701-775-pr_filt","day0_F10.WiW46","WiW46","WiW","46","51.444 N 0.6032 W",2013-09-18
"day0_F10.WYM14_052214DR16s-Sam476-550_filt","day0_F10.WYM14","WYM14","WYM","14","51.7689 N 1.3286 W",2013-10-22
"day0_F10.WYT92_052214DR16s-Sam626-700-pr_filt","day0_F10.WYT92","WYT92","WYT","92","51.7728 N 1.337 W",2013-10-25
"day0_F11.AE133_052214DR16s-Sam851-925-pr_filt","day0_F11.AE133","AE133","AE","133","51.79748 N 0.56289 W",2013-11-21
"day0_F11.AE14_052214DR16s-Sam476-550_filt","day0_F11.AE14","AE14","AE","14","51.78638 N 0.55246 W",2013-10-30
"day0_F11.AE165_052214DR16s-Sam551-625-pr_filt","day0_F11.AE165","AE165","AE","165","51.79525 N 0.5616 W",2013-11-21
"day0_F11.AE38_052214DR16s-Sam161-240-pr_filt","day0_F11.AE38","AE38","AE","38","51.7849 N 0.55176 W",2013-10-30
"day0_F11.AE78_052214DR16s-Sam776-850-pr_filt","day0_F11.AE78","AE78","AE","78","51.79036 N 0.55754 W",2013-11-18
"day0_F11.BWd06_052214DR16s-Sam321-400-pr_filt","day0_F11.BWd06","BWd06","BWd","6","51.1936 N 1.0689 W",2013-10-03
"day0_F11.WiW54_052214DR16s-Sam626-700-pr_filt","day0_F11.WiW54","WiW54","WiW","54","51.4425 N 0.5952 W",2013-09-18
"day0_F11.WYC06_052214DR16s-SAM81-160-pr_filt","day0_F11.WYC06","WYC06","WYC","6","51.7695 N 1.3291 W",2013-10-22
"day0_F12.AE141_052214DR16s-Sam851-925-pr_filt","day0_F12.AE141","AE141","AE","141","51.79778 N 0.5634 W",2013-11-21
"day0_F12.AE173_052214DR16s-Sam551-625-pr_filt","day0_F12.AE173","AE173","AE","173","51.79533 N 0.5607 W",2013-11-21
"day0_F12.AE46_052214DR16s-Sam161-240-pr_filt","day0_F12.AE46","AE46","AE","46","51.78601 N 0.55127 W",2013-10-30
"day0_F12.AE86_052214DR16s-Sam776-850-pr_filt","day0_F12.AE86","AE86","AE","86","51.79037 N 0.55803 W",2013-11-18
"day0_F12.LW06_052214DR16s-Sam321-400-pr_filt","day0_F12.LW06","LW06","LW","6","51.4241 N 0.6379 W",2013-09-12
"day0_F12.WP14_052214DR16s-SAM81-160-pr_filt","day0_F12.WP14","WP14","WP","14","51.323928 N 0.612627 W",2013-11-28
"day0_F12.WYT22_052214DR16s-Sam476-550_filt","day0_F12.WYT22","WYT22","WYT","22","51.7697 N 1.3295 W",2013-10-22
"day0_G01.AE55_052214DR16s-Sam476-550_filt","day0_G01.AE55","AE55","AE","55","51.78476 N 0.55113 W",2013-10-30
"day0_G01.BB07_052214DR16s-Sam1-80-pr_filt","day0_G01.BB07","BB07","BB","7","51.5581 N 0.6332 W",2013-08-20
"day0_G01.HW15_052214DR16s-Sam401-475-pr_filt","day0_G01.HW15","HW15","HW","15","51.58461 N 0.77624 W",2013-10-29
"day0_G01.OWW15_052214DR16s-SAM81-160-pr_filt","day0_G01.OWW15","OWW15","OWW","15","51.4462 N 0.594 W",2013-09-26
"day0_G01.WYM31_052214DR16s-Sam701-775-pr_filt","day0_G01.WYM31","WYM31","WYM","31","51.7685 N 1.3281 W",2013-10-22
"day0_G01.WYT07_052214DR16s-Sam241-320-pr_filt","day0_G01.WYT07","WYT07","WYT","7","51.7664 N 1.3295 W",2013-10-16
"day0_G01.WYT101_052214DR16s-Sam776-850-pr_filt","day0_G01.WYT101","WYT101","WYT","101","51.7728 N 1.337 W",2013-10-25
"day0_G01.WYT39_052214DR16s-Sam551-625-pr_filt","day0_G01.WYT39","WYT39","WYT","39","51.7689 N 1.3291 W",2013-10-22
"day0_G02.AE63_052214DR16s-Sam476-550_filt","day0_G02.AE63","AE63","AE","63","51.77875 N 0.54324 W",2013-10-30
"day0_G02.BB15_052214DR16s-Sam1-80-pr_filt","day0_G02.BB15","BB15","BB","15","51.5594 N 0.6345 W",2013-08-20
"day0_G02.BCW07_052214DR16s-Sam241-320-pr_filt","day0_G02.BCW07","BCW07","BCW","7","51.1388 N 3.7535 W",2014-04-21
"day0_G02.BCW23_052214DR16s-SAM81-160-pr_filt","day0_G02.BCW23","BCW23","BCW","23","50.9713 N 3.4557 W",2014-04-21
"day0_G02.WiW23_052214DR16s-Sam401-475-pr_filt","day0_G02.WiW23","WiW23","WiW","23","51.4416 N 0.6004 W",2013-09-18
"day0_G02.WYM39_052214DR16s-Sam701-775-pr_filt","day0_G02.WYM39","WYM39","WYM","39","51.7683 N 1.3329 W",2013-10-22
"day0_G02.WYT109_052214DR16s-Sam776-850-pr_filt","day0_G02.WYT109","WYT109","WYT","109","51.7717 N 1.3376 W",2013-10-25
"day0_G02.WYT47_052214DR16s-Sam551-625-pr_filt","day0_G02.WYT47","WYT47","WYT","47","51.7632 N 1.326 W",2013-10-22
"day0_G03.BW07_052214DR16s-Sam241-320-pr_filt","day0_G03.BW07","BW07","BW","7","51.54797 N 0.77276 W",2013-10-29
"day0_G03.SAC15_052214DR16s-Sam1-80-pr_filt","day0_G03.SAC15","SAC15","SAC","15","51.76928 N 0.34986 W",2013-12-03
"day0_G03.WiW31_052214DR16s-Sam401-475-pr_filt","day0_G03.WiW31","WiW31","WiW","31","51.4418 N 0.6018 W",2013-09-18
"day0_G03.WYT15_052214DR16s-SAM81-160-pr_filt","day0_G03.WYT15","WYT15","WYT","15","51.7624 N 1.3169 W",2013-10-16
"day0_G03.WYT55_052214DR16s-Sam551-625-pr_filt","day0_G03.WYT55","WYT55","WYT","55","51.7688 N 1.3345 W",2013-10-22
"day0_G03.WYT65_052214DR16s-Sam776-850-pr_filt","day0_G03.WYT65","WYT65","WYT","65","51.7696 N 1.335 W",2013-10-25
"day0_G04.BB71_052214DR16s-Sam701-775-pr_filt","day0_G04.BB71","BB71","BB","71","51.61 N 0.6327 W",2013-08-29
"day0_G04.BB99_052214DR16s-Sam776-850-pr_filt","day0_G04.BB99","BB99","BB","99","51.5564 N 0.6366 W",2013-08-29
"day0_G04.BCW25_052214DR16s-Sam1-80-pr_filt","day0_G04.BCW25","BCW25","BCW","25","50.971 N 3.4558 W",2014-04-21
"day0_G04.BW15_052214DR16s-Sam476-550_filt","day0_G04.BW15","BW15","BW","15","51.54668 N 0.77293 W",2013-10-29
"day0_G04.PH23_052214DR16s-Sam626-700-pr_filt","day0_G04.PH23","PH23","PH","23","51.59996 N 0.81248 W",2013-12-07
"day0_G04.SAC07_052214DR16s-Sam321-400-pr_filt","day0_G04.SAC07","SAC07","SAC","7","51.76923 N 0.3484 W",2013-12-03
"day0_G04.WiW39_052214DR16s-Sam401-475-pr_filt","day0_G04.WiW39","WiW39","WiW","39","51.4426 N 0.6018 W",2013-09-18
"day0_G04.WYC15_052214DR16s-SAM81-160-pr_filt","day0_G04.WYC15","WYC15","WYC","15","51.7688 N 1.3299 W",2013-10-22
"day0_G05.AE07_052214DR16s-Sam321-400-pr_filt","day0_G05.AE07","AE07","AE","7","51.78653 N 0.55193 W",2013-10-30
"day0_G05.BB55_052214DR16s-Sam626-700-pr_filt","day0_G05.BB55","BB55","BB","55","51.559 N 0.6295 W",2013-08-29
"day0_G05.BB79_052214DR16s-Sam701-775-pr_filt","day0_G05.BB79","BB79","BB","79","51.5608 N 0.6347 W",2013-08-29
"day0_G05.BCW15_052214DR16s-Sam1-80-pr_filt","day0_G05.BCW15","BCW15","BCW","15","50.9719 N 3.4544 W",2014-04-21
"day0_G05.SP16_052214DR16s-Sam401-475-pr_filt","day0_G05.SP16","SP16","SP","16","51.4082 N 0.6409 W",2014-04-24
"day0_G05.WYC23_052214DR16s-SAM81-160-pr_filt","day0_G05.WYC23","WYC23","WYC","23","51.7687 N 1.3292 W",2013-10-22
"day0_G05.WYC31_052214DR16s-Sam476-550_filt","day0_G05.WYC31","WYC31","WYC","31","51.7683 N 1.3326 W",2013-10-22
"day0_G06.AE95_052214DR16s-Sam776-850-pr_filt","day0_G06.AE95","AE95","AE","95","51.79391 N 0.55994 W",2013-11-18
"day0_G06.BB23_052214DR16s-SAM81-160-pr_filt","day0_G06.BB23","BB23","BB","23","51.5597 N 0.636 W",2013-08-20
"day0_G06.BB63_052214DR16s-Sam626-700-pr_filt","day0_G06.BB63","BB63","BB","63","51.5583 N 0.6307 W",2013-08-29
"day0_G06.BB87_052214DR16s-Sam701-775-pr_filt","day0_G06.BB87","BB87","BB","87","51.5587 N 0.6383 W",2013-08-29
"day0_G06.SNG01_052214DR16s-Sam401-475-pr_filt","day0_G06.SNG01","SNG01","SNG","1","51.3936 N 0.6349 W",2014-04-23
"day0_G06.WGP07_052214DR16s-Sam321-400-pr_filt","day0_G06.WGP07","WGP07","WGP","7","51.4102 N 0.6105 W",2013-09-04
"day0_G06.WGP15_052214DR16s-Sam1-80-pr_filt","day0_G06.WGP15","WGP15","WGP","15","51.4206 N 0.6399 W",2013-09-25
"day0_G06.WYC39_052214DR16s-Sam476-550_filt","day0_G06.WYC39","WYC39","WYC","39","51.7685 N 1.336 W",2013-10-22
"day0_G07.AE107_052214DR16s-Sam851-925-pr_filt","day0_G07.AE107","AE107","AE","107","51.79507 N 0.56083 W",2013-11-18
"day0_G07.AE71_052214DR16s-Sam626-700-pr_filt","day0_G07.AE71","AE71","AE","71","51.7908 N 0.5588 W",2013-11-18
"day0_G07.BB31_052214DR16s-SAM81-160-pr_filt","day0_G07.BB31","BB31","BB","31","51.5503 N 0.6335 W",2013-08-29
"day0_G07.PH15_052214DR16s-Sam551-625-pr_filt","day0_G07.PH15","PH15","PH","15","51.57064 N 0.81273 W",2013-12-07
"day0_G07.WEL07_052214DR16s-Sam321-400-pr_filt","day0_G07.WEL07","WEL07","WEL","7","50.9462 N 3.2073 W",2013-12-29
"day0_G07.WP07_052214DR16s-Sam1-80-pr_filt","day0_G07.WP07","WP07","WP","7","51.322905 N 0.615145 W",2013-11-28
"day0_G07.WYT63_052214DR16s-Sam701-775-pr_filt","day0_G07.WYT63","WYT63","WYT","63","51.7693 N 1.3354 W",2013-10-25
"day0_G08.AE176_052214DR16s-Sam851-925-pr_filt","day0_G08.AE176","AE176","AE","176","51.79534 N 0.56032 W",2013-11-21
"day0_G08.AE23_052214DR16s-Sam551-625-pr_filt","day0_G08.AE23","AE23","AE","23","51.78608 N 0.55237 W",2013-10-30
"day0_G08.BB39_052214DR16s-SAM81-160-pr_filt","day0_G08.BB39","BB39","BB","39","51.558 N 0.6311 W",2013-08-29
"day0_G08.OWW07_052214DR16s-Sam321-400-pr_filt","day0_G08.OWW07","OWW07","OWW","7","51.4499 N 0.5969 W",2013-09-26
"day0_G08.WEL23_052214DR16s-Sam401-475-pr_filt","day0_G08.WEL23","WEL23","WEL","23","50.9451 N 3.2118 W",2013-12-29
"day0_G08.WYT77_052214DR16s-Sam626-700-pr_filt","day0_G08.WYT77","WYT77","WYT","77","51.7702 N 1.3359 W",2013-10-25
"day0_G09.AE118_052214DR16s-Sam851-925-pr_filt","day0_G09.AE118","AE118","AE","118","51.79588 N 0.56354 W",2013-11-21
"day0_G09.BB47_052214DR16s-Sam401-475-pr_filt","day0_G09.BB47","BB47","BB","47","51.5583 N 0.6302 W",2013-08-29
"day0_G09.HW07_052214DR16s-Sam1-80-pr_filt","day0_G09.HW07","HW07","HW","7","51.5844 N 0.77816 W",2013-10-29
"day0_G09.PH07_052214DR16s-Sam161-240-pr_filt","day0_G09.PH07","PH07","PH","7","51.5719 N 0.80964 W",2013-12-07
"day0_G09.WiW07_052214DR16s-Sam321-400-pr_filt","day0_G09.WiW07","WiW07","WiW","7","51.4381 N 0.6003 W",2013-09-18
"day0_G09.WYT31_052214DR16s-Sam551-625-pr_filt","day0_G09.WYT31","WYT31","WYT","31","51.7693 N 1.3294 W",2013-10-22
"day0_G09.WYT85_052214DR16s-Sam626-700-pr_filt","day0_G09.WYT85","WYT85","WYT","85","51.7725 N 1.337 W",2013-10-25
"day0_G10.AE126_052214DR16s-Sam851-925-pr_filt","day0_G10.AE126","AE126","AE","126","51.79794 N 0.56341 W",2013-11-21
"day0_G10.AE158_052214DR16s-Sam551-625-pr_filt","day0_G10.AE158","AE158","AE","158","51.79536 N 0.56172 W",2013-11-21
"day0_G10.AE31_052214DR16s-Sam161-240-pr_filt","day0_G10.AE31","AE31","AE","31","51.78534 N 0.55207 W",2013-10-30
"day0_G10.WF07_052214DR16s-Sam321-400-pr_filt","day0_G10.WF07","WF07","WF","7","51.4473 N 0.6384 W",2013-10-21
"day0_G10.WiW15_052214DR16s-Sam1-80-pr_filt","day0_G10.WiW15","WiW15","WiW","15","51.4415 N 0.5988 W",2013-09-18
"day0_G10.WiW47_052214DR16s-Sam701-775-pr_filt","day0_G10.WiW47","WiW47","WiW","47","51.439 N 0.6029 W",2013-09-18
"day0_G10.WYM15_052214DR16s-Sam476-550_filt","day0_G10.WYM15","WYM15","WYM","15","51.7689 N 1.3286 W",2013-10-22
"day0_G10.WYT93_052214DR16s-Sam626-700-pr_filt","day0_G10.WYT93","WYT93","WYT","93","51.7728 N 1.337 W",2013-10-25
"day0_G11.AE134_052214DR16s-Sam851-925-pr_filt","day0_G11.AE134","AE134","AE","134","51.79748 N 0.56289 W",2013-11-21
"day0_G11.AE15_052214DR16s-Sam476-550_filt","day0_G11.AE15","AE15","AE","15","51.7862 N 0.55248 W",2013-10-30
"day0_G11.AE166_052214DR16s-Sam551-625-pr_filt","day0_G11.AE166","AE166","AE","166","51.79542 N 0.56109 W",2013-11-21
"day0_G11.AE39_052214DR16s-Sam161-240-pr_filt","day0_G11.AE39","AE39","AE","39","51.78507 N 0.5519 W",2013-10-30
"day0_G11.AE79_052214DR16s-Sam776-850-pr_filt","day0_G11.AE79","AE79","AE","79","51.79033 N 0.55775 W",2013-11-18
"day0_G11.BWd07_052214DR16s-Sam321-400-pr_filt","day0_G11.BWd07","BWd07","BWd","7","51.1936 N 1.0689 W",2013-10-03
"day0_G11.WiW55_052214DR16s-Sam626-700-pr_filt","day0_G11.WiW55","WiW55","WiW","55","51.4425 N 0.5952 W",2013-09-18
"day0_G11.WYC07_052214DR16s-SAM81-160-pr_filt","day0_G11.WYC07","WYC07","WYC","7","51.7695 N 1.3291 W",2013-10-22
"day0_G12.AE142_052214DR16s-Sam851-925-pr_filt","day0_G12.AE142","AE142","AE","142","51.79762 N 0.56351 W",2013-11-21
"day0_G12.AE174_052214DR16s-Sam551-625-pr_filt","day0_G12.AE174","AE174","AE","174","51.79533 N 0.5607 W",2013-11-21
"day0_G12.AE47_052214DR16s-Sam161-240-pr_filt","day0_G12.AE47","AE47","AE","47","51.78601 N 0.55127 W",2013-10-30
"day0_G12.AE87_052214DR16s-Sam776-850-pr_filt","day0_G12.AE87","AE87","AE","87","51.79037 N 0.55803 W",2013-11-18
"day0_G12.WP15_052214DR16s-SAM81-160-pr_filt","day0_G12.WP15","WP15","WP","15","51.323928 N 0.612627 W",2013-11-28
"day0_G12.WYM23_052214DR16s-Sam626-700-pr_filt","day0_G12.WYM23","WYM23","WYM","23","51.7685 N 1.3281 W",2013-10-22
"day0_G12.WYT23_052214DR16s-Sam476-550_filt","day0_G12.WYT23","WYT23","WYT","23","51.7695 N 1.3296 W",2013-10-22
"day0_H01.AE56_052214DR16s-Sam476-550_filt","day0_H01.AE56","AE56","AE","56","51.78474 N 0.55026 W",2013-10-30
"day0_H01.BB08_052214DR16s-Sam1-80-pr_filt","day0_H01.BB08","BB08","BB","8","51.5589 N 0.6343 W",2013-08-20
"day0_H01.HW16_052214DR16s-Sam401-475-pr_filt","day0_H01.HW16","HW16","HW","16","51.5849 N 0.77572 W",2013-10-29
"day0_H01.OWW16_052214DR16s-SAM81-160-pr_filt","day0_H01.OWW16","OWW16","OWW","16","51.4452 N 0.5953 W",2013-09-26
"day0_H01.WYM32_052214DR16s-Sam701-775-pr_filt","day0_H01.WYM32","WYM32","WYM","32","51.7685 N 1.3281 W",2013-10-22
"day0_H01.WYT08_052214DR16s-Sam241-320-pr_filt","day0_H01.WYT08","WYT08","WYT","8","51.7693 N 1.3293 W",2013-10-16
"day0_H01.WYT102_052214DR16s-Sam776-850-pr_filt","day0_H01.WYT102","WYT102","WYT","102","51.7728 N 1.337 W",2013-10-25
"day0_H01.WYT40_052214DR16s-Sam551-625-pr_filt","day0_H01.WYT40","WYT40","WYT","40","51.7689 N 1.3291 W",2013-10-22
"day0_H02.AE64_052214DR16s-Sam476-550_filt","day0_H02.AE64","AE64","AE","64","51.77875 N 0.54324 W",2013-10-30
"day0_H02.BB16_052214DR16s-Sam1-80-pr_filt","day0_H02.BB16","BB16","BB","16","51.5593 N 0.6345 W",2013-08-20
"day0_H02.BCW08_052214DR16s-Sam241-320-pr_filt","day0_H02.BCW08","BCW08","BCW","8","51.1381 N 3.7516 W",2014-04-21
"day0_H02.BCW24_052214DR16s-SAM81-160-pr_filt","day0_H02.BCW24","BCW24","BCW","24","50.9712 N 3.4557 W",2014-04-21
"day0_H02.WiW24_052214DR16s-Sam401-475-pr_filt","day0_H02.WiW24","WiW24","WiW","24","51.4416 N 0.6004 W",2013-09-18
"day0_H02.WYM40_052214DR16s-Sam701-775-pr_filt","day0_H02.WYM40","WYM40","WYM","40","51.7687 N 1.335 W",2013-10-22
"day0_H02.WYT110_052214DR16s-Sam776-850-pr_filt","day0_H02.WYT110","WYT110","WYT","110","51.7717 N 1.3376 W",2013-10-25
"day0_H02.WYT48_052214DR16s-Sam551-625-pr_filt","day0_H02.WYT48","WYT48","WYT","48","51.7632 N 1.326 W",2013-10-22
"day0_H03.BW08_052214DR16s-Sam241-320-pr_filt","day0_H03.BW08","BW08","BW","8","51.54801 N 0.77299 W",2013-10-29
"day0_H03.SAC16_052214DR16s-Sam1-80-pr_filt","day0_H03.SAC16","SAC16","SAC","16","51.76936 N 0.34989 W",2013-12-03
"day0_H03.WiW32_052214DR16s-Sam401-475-pr_filt","day0_H03.WiW32","WiW32","WiW","32","51.4418 N 0.6018 W",2013-09-18
"day0_H03.WYT16_052214DR16s-SAM81-160-pr_filt","day0_H03.WYT16","WYT16","WYT","16","51.7697 N 1.3295 W",2013-10-22
"day0_H03.WYT56_052214DR16s-Sam551-625-pr_filt","day0_H03.WYT56","WYT56","WYT","56","51.7688 N 1.3345 W",2013-10-22
"day0_H03.WYT66_052214DR16s-Sam776-850-pr_filt","day0_H03.WYT66","WYT66","WYT","66","51.7696 N 1.335 W",2013-10-25
"day0_H04.BB72_052214DR16s-Sam701-775-pr_filt","day0_H04.BB72","BB72","BB","72","51.5609 N 0.6336 W",2013-08-29
"day0_H04.BCW26_052214DR16s-Sam1-80-pr_filt","day0_H04.BCW26","BCW26","BCW","26","50.971 N 3.4558 W",2014-04-21
"day0_H04.BW16_052214DR16s-Sam476-550_filt","day0_H04.BW16","BW16","BW","16","51.54639 N 0.77291 W",2013-10-29
"day0_H04.PH24_052214DR16s-Sam626-700-pr_filt","day0_H04.PH24","PH24","PH","24","51.57034 N 0.81256 W",2013-12-07
"day0_H04.SAC08_052214DR16s-Sam321-400-pr_filt","day0_H04.SAC08","SAC08","SAC","8","51.76923 N 0.3484 W",2013-12-03
"day0_H04.WiW40_052214DR16s-Sam401-475-pr_filt","day0_H04.WiW40","WiW40","WiW","40","51.4426 N 0.6018 W",2013-09-18
"day0_H04.WYC16_052214DR16s-SAM81-160-pr_filt","day0_H04.WYC16","WYC16","WYC","16","51.7688 N 1.3299 W",2013-10-22
"day0_H05.AE08_052214DR16s-Sam321-400-pr_filt","day0_H05.AE08","AE08","AE","8","51.78653 N 0.55193 W",2013-10-30
"day0_H05.BB56_052214DR16s-Sam626-700-pr_filt","day0_H05.BB56","BB56","BB","56","51.559 N 0.6295 W",2013-08-29
"day0_H05.BB80_052214DR16s-Sam701-775-pr_filt","day0_H05.BB80","BB80","BB","80","51.5609 N 0.6347 W",2013-08-29
"day0_H05.BCW16_052214DR16s-Sam1-80-pr_filt","day0_H05.BCW16","BCW16","BCW","16","50.9717 N 3.454 W",2014-04-21
"day0_H05.SP17_052214DR16s-Sam401-475-pr_filt","day0_H05.SP17","SP17","SP","17","51.4082 N 0.6409 W",2014-04-24
"day0_H05.WYC24_052214DR16s-SAM81-160-pr_filt","day0_H05.WYC24","WYC24","WYC","24","51.7685 N 1.329 W",2013-10-22
"day0_H05.WYC32_052214DR16s-Sam476-550_filt","day0_H05.WYC32","WYC32","WYC","32","51.7683 N 1.3326 W",2013-10-22
"day0_H06.AE96_052214DR16s-Sam776-850-pr_filt","day0_H06.AE96","AE96","AE","96","51.79395 N 0.55996 W",2013-11-18
"day0_H06.BB24_052214DR16s-SAM81-160-pr_filt","day0_H06.BB24","BB24","BB","24","51.5597 N 0.6359 W",2013-08-20
"day0_H06.BB88_052214DR16s-Sam701-775-pr_filt","day0_H06.BB88","BB88","BB","88","51.5594 N 0.638 W",2013-08-29
"day0_H06.SNG02_052214DR16s-Sam401-475-pr_filt","day0_H06.SNG02","SNG02","SNG","2","51.3936 N 0.6349 W",2014-04-23
"day0_H06.WGP08_052214DR16s-Sam321-400-pr_filt","day0_H06.WGP08","WGP08","WGP","8","51.4093 N 0.6082 W",2013-09-04
"day0_H06.WGP16_052214DR16s-Sam1-80-pr_filt","day0_H06.WGP16","WGP16","WGP","16","51.4223 N 0.644 W",2013-09-25
"day0_H06.WYC40_052214DR16s-Sam476-550_filt","day0_H06.WYC40","WYC40","WYC","40","51.7685 N 1.336 W",2013-10-22
"day0_H07.AE108_052214DR16s-Sam851-925-pr_filt","day0_H07.AE108","AE108","AE","108","51.79543 N 0.5607 W",2013-11-18
"day0_H07.AE72_052214DR16s-Sam626-700-pr_filt","day0_H07.AE72","AE72","AE","72","51.79066 N 0.5573 W",2013-11-18
"day0_H07.BB32_052214DR16s-SAM81-160-pr_filt","day0_H07.BB32","BB32","BB","32","51.5502 N 0.6336 W",2013-08-29
"day0_H07.PH16_052214DR16s-Sam551-625-pr_filt","day0_H07.PH16","PH16","PH","16","51.57016 N 0.81297 W",2013-12-07
"day0_H07.WEL08_052214DR16s-Sam321-400-pr_filt","day0_H07.WEL08","WEL08","WEL","8","50.9466 N 3.2077 W",2013-12-29
"day0_H07.WP08_052214DR16s-Sam1-80-pr_filt","day0_H07.WP08","WP08","WP","8","51.4093 N 0.6082 W",2013-09-04
"day0_H07.WYT64_052214DR16s-Sam701-775-pr_filt","day0_H07.WYT64","WYT64","WYT","64","51.7696 N 1.335 W",2013-10-25
"day0_H08.AE24_052214DR16s-Sam551-625-pr_filt","day0_H08.AE24","AE24","AE","24","51.78577 N 0.55232 W",2013-10-30
"day0_H08.BB40_052214DR16s-SAM81-160-pr_filt","day0_H08.BB40","BB40","BB","40","51.5579 N 0.6309 W",2013-08-29
"day0_H08.OWW08_052214DR16s-Sam321-400-pr_filt","day0_H08.OWW08","OWW08","OWW","8","51.4498 N 0.5969 W",2013-09-26
"day0_H08.WEL24_052214DR16s-Sam401-475-pr_filt","day0_H08.WEL24","WEL24","WEL","24","50.9451 N 3.2118 W",2013-12-29
"day0_H08.WYT78_052214DR16s-Sam626-700-pr_filt","day0_H08.WYT78","WYT78","WYT","78","51.7702 N 1.3366 W",2013-10-25
"day0_H09.AE119_052214DR16s-Sam851-925-pr_filt","day0_H09.AE119","AE119","AE","119","51.79706 N 0.56418 W",2013-11-21
"day0_H09.BB48_052214DR16s-Sam401-475-pr_filt","day0_H09.BB48","BB48","BB","48","51.5583 N 0.6301 W",2013-08-29
"day0_H09.HW08_052214DR16s-Sam1-80-pr_filt","day0_H09.HW08","HW08","HW","8","51.58494 N 0.77712 W",2013-10-29
"day0_H09.PH08_052214DR16s-Sam161-240-pr_filt","day0_H09.PH08","PH08","PH","8","51.57197 N 0.8098 W",2013-12-07
"day0_H09.WiW08_052214DR16s-Sam321-400-pr_filt","day0_H09.WiW08","WiW08","WiW","8","51.4378 N 0.5995 W",2013-09-18
"day0_H09.WYT32_052214DR16s-Sam551-625-pr_filt","day0_H09.WYT32","WYT32","WYT","32","51.769 N 1.3293 W",2013-10-22
"day0_H09.WYT86_052214DR16s-Sam626-700-pr_filt","day0_H09.WYT86","WYT86","WYT","86","51.7725 N 1.337 W",2013-10-25
"day0_H10.AE127_052214DR16s-Sam851-925-pr_filt","day0_H10.AE127","AE127","AE","127","51.79807 N 0.56354 W",2013-11-21
"day0_H10.AE159_052214DR16s-Sam551-625-pr_filt","day0_H10.AE159","AE159","AE","159","51.79536 N 0.56172 W",2013-11-21
"day0_H10.AE32_052214DR16s-Sam161-240-pr_filt","day0_H10.AE32","AE32","AE","32","51.78534 N 0.55207 W",2013-10-30
"day0_H10.WiW16_052214DR16s-Sam1-80-pr_filt","day0_H10.WiW16","WiW16","WiW","16","51.4415 N 0.5988 W",2013-09-18
"day0_H10.WiW48_052214DR16s-Sam776-850-pr_filt","day0_H10.WiW48","WiW48","WiW","48","51.439 N 0.5944 W",2013-09-18
"day0_H10.WYM16_052214DR16s-Sam476-550_filt","day0_H10.WYM16","WYM16","WYM","16","51.7687 N 1.3285 W",2013-10-22
"day0_H10.WYT94_052214DR16s-Sam626-700-pr_filt","day0_H10.WYT94","WYT94","WYT","94","51.7728 N 1.337 W",2013-10-25
"day0_H11.AE135_052214DR16s-Sam851-925-pr_filt","day0_H11.AE135","AE135","AE","135","51.79748 N 0.56289 W",2013-11-21
"day0_H11.AE16_052214DR16s-Sam476-550_filt","day0_H11.AE16","AE16","AE","16","51.7862 N 0.55248 W",2013-10-30
"day0_H11.AE167_052214DR16s-Sam551-625-pr_filt","day0_H11.AE167","AE167","AE","167","51.79558 N 0.56133 W",2013-11-21
"day0_H11.AE40_052214DR16s-Sam161-240-pr_filt","day0_H11.AE40","AE40","AE","40","51.78507 N 0.5519 W",2013-10-30
"day0_H11.AE80_052214DR16s-Sam776-850-pr_filt","day0_H11.AE80","AE80","AE","80","51.79034 N 0.55778 W",2013-11-18
