"","filename","community","day","rep","seq.run","well"
"52","day0_A06.WYC33_052214DR16s-Sam476-550_filt.fastq.gz","WYC33",0,NA,"052214DR16s","A06"
"53","day0_A06.WYC41_052214DR16s-Sam401-475-pr_filt.fastq.gz","WYC41",0,NA,"052214DR16s","A06"
"54","day0_A06.WYM33c_052214DR16s-Sam241-320-pr_filt.fastq.gz","WYM33c",0,NA,"052214DR16s","A06"
"55","day0_A07.AE101_052214DR16s-Sam776-850-pr_filt.fastq.gz","AE101",0,NA,"052214DR16s","A07"
"56","day0_A07.AE65_052214DR16s-Sam626-700-pr_filt.fastq.gz","AE65",0,NA,"052214DR16s","A07"
"57","day0_A07.BB25_052214DR16s-SAM81-160-pr_filt.fastq.gz","BB25",0,NA,"052214DR16s","A07"
"58","day0_A07.PH09_052214DR16s-Sam476-550_filt.fastq.gz","PH09",0,NA,"052214DR16s","A07"
"59","day0_A07.WEL01_052214DR16s-Sam321-400-pr_filt.fastq.gz","WEL01",0,NA,"052214DR16s","A07"
"60","day0_A07.WEL01_052214DR16s-Sam401-475-pr_filt.fastq.gz","WEL01",0,NA,"052214DR16s","A07"
"61","day0_A07.WP01_052214DR16s-Sam1-80-pr_filt.fastq.gz","WP01",0,NA,"052214DR16s","A07"
"62","day0_A07.WYD06c_052214DR16s-Sam241-320-pr_filt.fastq.gz","WYD06c",0,NA,"052214DR16s","A07"
"63","day0_A07.WYT57_052214DR16s-Sam701-775-pr_filt.fastq.gz","WYT57",0,NA,"052214DR16s","A07"
"64","day0_A08.AE109_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE109",0,NA,"052214DR16s","A08"
"65","day0_A08.AE17_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE17",0,NA,"052214DR16s","A08"
"66","day0_A08.BB33_052214DR16s-SAM81-160-pr_filt.fastq.gz","BB33",0,NA,"052214DR16s","A08"
"67","day0_A08.CHE03c_052214DR16s-Sam241-320-pr_filt.fastq.gz","CHE03c",0,NA,"052214DR16s","A08"
"68","day0_A08.LW07_052214DR16s-Sam1-80-pr_filt.fastq.gz","LW07",0,NA,"052214DR16s","A08"
"69","day0_A08.OWW01_052214DR16s-Sam321-400-pr_filt.fastq.gz","OWW01",0,NA,"052214DR16s","A08"
"70","day0_A08.WEL17_052214DR16s-Sam401-475-pr_filt.fastq.gz","WEL17",0,NA,"052214DR16s","A08"
"71","day0_A08.WiW25_052214DR16s-Sam701-775-pr_filt.fastq.gz","WiW25",0,NA,"052214DR16s","A08"
"72","day0_A08.WYT71_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYT71",0,NA,"052214DR16s","A08"
"73","day0_A09.AE112_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE112",0,NA,"052214DR16s","A09"
"74","day0_A09.BB41_052214DR16s-Sam401-475-pr_filt.fastq.gz","BB41",0,NA,"052214DR16s","A09"
"75","day0_A09.CHE11c_052214DR16s-Sam241-320-pr_filt.fastq.gz","CHE11c",0,NA,"052214DR16s","A09"
"76","day0_A09.HW01_052214DR16s-Sam1-80-pr_filt.fastq.gz","HW01",0,NA,"052214DR16s","A09"
"77","day0_A09.PH01_052214DR16s-Sam161-240-pr_filt.fastq.gz","PH01",0,NA,"052214DR16s","A09"
"78","day0_A09.WiW01_052214DR16s-Sam321-400-pr_filt.fastq.gz","WiW01",0,NA,"052214DR16s","A09"
"79","day0_A09.WiW33_052214DR16s-Sam701-775-pr_filt.fastq.gz","WiW33",0,NA,"052214DR16s","A09"
"80","day0_A09.WYT25_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT25",0,NA,"052214DR16s","A09"
