id.DminToC	id.DminToBdC2.1	id.DminToBdC2.2	id.minDistToBd	id.class.minDistToBd	Class
Centroid2.1	WYM39.2	BB06.2	WYM39.2	C1	1
Centroid2.1	WYM39.2	BB06.2	WYM39.2	C1	1
Centroid2.1	OWW09.2	BWd02.2	OWW09.2	C1	1
Centroid2.1	WYM39.2	BB06.2	BB06.2	C2	none
Centroid2.1	WP02.2	AE116.2	WP02.2	C1	1
Centroid2.1	WiW11.2	SP01.2	WiW11.2	C1	1
Centroid2.1	OWW14.2	BWd02.2	OWW14.2	C1	1
Centroid2.1	BWd07.2	BWd02.2	BWd07.2	C1	1
Centroid2.1	WYM39.2	BB06.2	WYM39.2	C1	1
Centroid2.2	WYM39.2	BB06.2	BB06.2	C2	1
Centroid2.1	WYM39.2	BB06.2	BB06.2	C2	1
Centroid2.1	WYT45.2	BB06.2	WYT45.2	C1	1
Centroid2.2	OWW09.2	BB02.2	BB02.2	C2	2
Centroid2.1	WYM39.2	BB06.2	WYM39.2	C1	1
Centroid2.1	LW04.2	WEL19.2	LW04.2	C1	none
Centroid2.1	WYM39.2	BB06.2	BB06.2	C2	2
Centroid2.1	BB07.2	CHE12.2	BB07.2	C1	1
Centroid2.1	BB09.2	CHE12.2	BB09.2	C1	1
Centroid2.1	BB11.2	BB18.2	BB18.2	C2	2
Centroid2.1	BB11.2	BB02.2	BB11.2	C1	1
Centroid2.1	BB12.2	BB06.2	BB12.2	C1	1
Centroid2.1	WYM39.2	BB06.2	WYM39.2	C1	1
Centroid2.1	WYT95.2	BB14.2	BB14.2	C2	none
Centroid2.1	WiW31.2	CHE12.2	WiW31.2	C1	1
Centroid2.1	WP01.2	BB16.2	BB16.2	C2	2
Centroid2.1	BB17.2	BB16.2	BB17.2	C1	1
Centroid2.1	WiW46.2	BB18.2	BB18.2	C2	2
Centroid2.1	WYM39.2	BB06.2	WYM39.2	C1	1
Centroid2.1	SP09.2	CHE02.2	SP09.2	C1	none
Centroid2.1	BB17.2	BB21.2	BB17.2	C1	none
Centroid2.1	WYM39.2	BB06.2	WYM39.2	C1	1
Centroid2.1	LW03.2	BB23.2	BB23.2	C2	none
Centroid2.1	BB25.2	BB16.2	BB25.2	C1	1
Centroid2.1	LW09.2	BB26.2	BB26.2	C2	2
Centroid2.2	WYM39.2	BB06.2	BB06.2	C2	none
Centroid2.1	WYT95.2	BB16.2	WYT95.2	C1	1
Centroid2.1	SP08.2	AE116.2	SP08.2	C1	none
Centroid2.1	SP05.2	BB10.2	SP05.2	C1	2
Centroid2.2	BB40.2	BB28.2	BB28.2	C2	none
Centroid2.2	BB30.2	SAC12.2	SAC12.2	C2	1
Centroid2.1	BB60.2	BB52.2	BB60.2	C1	2
Centroid2.2	BB30.2	SAC12.2	SAC12.2	C2	1
Centroid2.1	BB35.2	PH14.2	BB35.2	C1	2
Centroid2.1	WYT49.2	BWd02.2	WYT49.2	C1	1
Centroid2.1	BB19.2	BB16.2	BB19.2	C1	none
Centroid2.1	WYT51.2	CHE12.2	WYT51.2	C1	1
Centroid2.1	WYT52.2	BB61.2	WYT52.2	C1	1
Centroid2.1	WYT53.2	WP08.2	WYT53.2	C1	1
Centroid2.1	WiW28.2	BB16.2	WiW28.2	C1	1
Centroid2.1	LW01.2	WEL19.2	LW01.2	C1	1
Centroid2.1	LW03.2	BB21.2	LW03.2	C1	1
Centroid2.1	LW04.2	WiW18.2	LW04.2	C1	1
Centroid2.1	LW05.2	BB61.2	LW05.2	C1	1
Centroid2.1	LW06.2	WiW18.2	LW06.2	C1	1
Centroid2.1	LW07.2	BB21.2	LW07.2	C1	1
Centroid2.1	LW08.2	WEL19.2	LW08.2	C1	1
Centroid2.1	LW09.2	WiW18.2	LW09.2	C1	1
Centroid2.1	LW10.2	BB16.2	LW10.2	C1	1
Centroid2.1	LW11.2	CHE12.2	LW11.2	C1	1
Centroid2.1	LW12.2	BB16.2	LW12.2	C1	1
Centroid2.1	WYT33.2	BWd02.2	WYT33.2	C1	1
Centroid2.1	WYT34.2	BB61.2	WYT34.2	C1	1
Centroid2.1	WYT36.2	WiW18.2	WYT36.2	C1	1
Centroid2.1	LW09.2	BB16.2	LW09.2	C1	1
Centroid2.1	WiW28.2	WiW18.2	WiW28.2	C1	1
Centroid2.1	WYT39.2	BWd02.2	WYT39.2	C1	1
Centroid2.1	WYT40.2	WiW18.2	WYT40.2	C1	1
Centroid2.1	WYT41.2	BWd02.2	WYT41.2	C1	1
Centroid2.1	WYT43.2	CHE12.2	WYT43.2	C1	none
Centroid2.1	WYT95.2	BB16.2	WYT95.2	C1	1
Centroid2.1	WYT45.2	CHE12.2	WYT45.2	C1	1
Centroid2.1	WiW20.2	CHE13.2	WiW20.2	C1	1
Centroid2.1	WYT47.2	WiW18.2	WYT47.2	C1	1
Centroid2.1	WYT48.2	BB16.2	WYT48.2	C1	1
Centroid2.1	LW07.2	WP12.2	LW07.2	C1	2
Centroid2.1	LW08.2	PH02.2	LW08.2	C1	2
Centroid2.1	LW09.2	WiW18.2	LW09.2	C1	2
Centroid2.1	BB27.2	SAC12.2	BB27.2	C1	2
Centroid2.1	LW11.2	PH05.2	PH05.2	C2	2
Centroid2.1	LW12.2	BB16.2	LW12.2	C1	2
Centroid2.1	WYM39.2	BB06.2	WYM39.2	C1	2
Centroid2.2	BB100.2	PH08.2	PH08.2	C2	2
Centroid2.2	BB40.2	WEL15.2	WEL15.2	C2	2
Centroid2.2	BB40.2	BB28.2	BB28.2	C2	2
Centroid2.2	BB40.2	PH19.2	BB40.2	C1	2
Centroid2.2	BB40.2	BB58.2	BB58.2	C2	2
Centroid2.1	WYM39.2	BB06.2	WYM39.2	C1	2
Centroid2.2	WYM39.2	BB06.2	BB06.2	C2	2
Centroid2.2	BB40.2	BB28.2	BB28.2	C2	2
Centroid2.2	BB60.2	BB52.2	BB60.2	C1	2
Centroid2.2	BB100.2	AE116.2	AE116.2	C2	2
Centroid2.2	BB40.2	BB28.2	BB28.2	C2	2
Centroid2.2	BB40.2	BB28.2	BB28.2	C2	2
Centroid2.2	BB40.2	BB58.2	BB40.2	C1	2
Centroid2.2	BB40.2	BB28.2	BB28.2	C2	2
Centroid2.2	BB30.2	PH24.2	PH24.2	C2	2
Centroid2.1	OWW09.2	BB06.2	OWW09.2	C1	none
Centroid2.2	BB100.2	AE116.2	AE116.2	C2	2
Centroid2.1	WYM39.2	BB06.2	WYM39.2	C1	2
Centroid2.1	WYM39.2	BB06.2	WYM39.2	C1	2
Centroid2.1	WYM39.2	BB06.2	WYM39.2	C1	2
Centroid2.1	BB30.2	SAC12.2	SAC12.2	C2	2
