id.DminToC	id.DminToBdC4.1	id.DminToBdC4.2	id.minDistToBd	id.class.minDistToBd	Class
Centroid4.1	WYT41.4	BB06.4	WYT41.4	C1	1
Centroid4.1	WYT41.4	BB06.4	WYT41.4	C1	1
Centroid4.1	WYT41.4	BB06.4	WYT41.4	C1	1
Centroid4.1	WYT41.4	BB06.4	WYT41.4	C1	none
Centroid4.1	WiW13.4	WiW14.4	WiW13.4	C1	1
Centroid4.1	WiW43.4	BB57.4	WiW43.4	C1	1
Centroid4.1	WYT41.4	BB06.4	WYT41.4	C1	1
Centroid4.1	WYT24.4	AE116.4	WYT24.4	C1	1
Centroid4.1	WYT41.4	BB06.4	WYT41.4	C1	1
Centroid4.2	WYM39.4	BB06.4	WYM39.4	C1	1
Centroid4.1	WYM39.4	BB06.4	WYM39.4	C1	1
Centroid4.1	WYT13.4	BB06.4	WYT13.4	C1	1
Centroid4.1	WYT41.4	BB02.4	BB02.4	C2	2
Centroid4.1	WYM39.4	BB06.4	WYM39.4	C1	1
Centroid4.1	BB05.4	BB57.4	BB05.4	C1	none
Centroid4.1	WYM39.4	BB06.4	BB06.4	C2	2
Centroid4.1	BB07.4	BB06.4	BB07.4	C1	1
Centroid4.1	BB09.4	PH01.4	BB09.4	C1	1
Centroid4.1	BB18.4	BB06.4	BB18.4	C1	2
Centroid4.1	BB11.4	WiW15.4	BB11.4	C1	1
Centroid4.1	BB12.4	BB57.4	BB12.4	C1	1
Centroid4.1	WYM39.4	BB06.4	WYM39.4	C1	1
Centroid4.1	BB14.4	BB16.4	BB14.4	C1	none
Centroid4.1	BB07.4	BB06.4	BB07.4	C1	1
Centroid4.1	WiW26.4	BB16.4	BB16.4	C2	2
Centroid4.1	BB17.4	BB16.4	BB17.4	C1	1
Centroid4.1	BB18.4	BB26.4	BB18.4	C1	2
Centroid4.1	WYM39.4	BB06.4	WYM39.4	C1	1
Centroid4.1	SP09.4	BB16.4	SP09.4	C1	none
Centroid4.1	BB21.4	RDM01.4	BB21.4	C1	none
Centroid4.1	WYM39.4	BB06.4	WYM39.4	C1	1
Centroid4.1	BB23.4	BB31.4	BB23.4	C1	none
Centroid4.1	WYT58.4	BB16.4	WYT58.4	C1	1
Centroid4.1	LW09.4	BB26.4	BB26.4	C2	2
Centroid4.1	WYM39.4	BB06.4	WYM39.4	C1	none
Centroid4.1	WiW26.4	BB16.4	WiW26.4	C1	1
Centroid4.1	SP08.4	BB100.4	SP08.4	C1	none
Centroid4.1	SAC07.4	BB27.4	BB27.4	C2	2
Centroid4.2	CHE07.4	BB40.4	BB40.4	C2	none
Centroid4.2	BB30.4	WiW22.4	WiW22.4	C2	1
Centroid4.1	WYM39.4	BB60.4	BB60.4	C2	2
Centroid4.2	BB30.4	WiW22.4	WiW22.4	C2	1
Centroid4.1	BB35.4	PH16.4	BB35.4	C1	2
Centroid4.1	WYT17.4	BB57.4	WYT17.4	C1	1
Centroid4.1	WiW26.4	BB16.4	WiW26.4	C1	none
Centroid4.1	WYT19.4	BB16.4	WYT19.4	C1	1
Centroid4.1	WYT20.4	BB57.4	WYT20.4	C1	1
Centroid4.1	WYT21.4	BB57.4	WYT21.4	C1	1
Centroid4.1	WYT23.4	BB16.4	WYT23.4	C1	1
Centroid4.1	LW01.4	BB57.4	LW01.4	C1	1
Centroid4.1	LW03.4	BB16.4	LW03.4	C1	1
Centroid4.1	LW04.4	BB57.4	LW04.4	C1	1
Centroid4.1	LW05.4	CHE04.4	LW05.4	C1	1
Centroid4.1	WP01.4	BB57.4	WP01.4	C1	1
Centroid4.1	WiW43.4	BB57.4	WiW43.4	C1	1
Centroid4.1	LW08.4	BB57.4	LW08.4	C1	1
Centroid4.1	LW09.4	PH24.4	LW09.4	C1	1
