id.DminToC	id.DminToBdC3.1	id.DminToBdC3.2	id.minDistToBd	id.class.minDistToBd	Class
Centroid3.2	AE50.3	BB100.3	BB100.3	C2	2
Centroid3.1	WYM39.3	BB100.3	WYM39.3	C1	2
Centroid3.2	WYM39.3	BB05.3	WYM39.3	C1	2
Centroid3.2	WYM39.3	SAC01.3	WYM39.3	C1	2
Centroid3.2	AE50.3	BB30.3	BB30.3	C2	2
Centroid3.2	AE50.3	SAC16.3	SAC16.3	C2	2
Centroid3.2	WYM39.3	WEL10.3	WYM39.3	C1	none
Centroid3.2	AE101.3	BB100.3	BB100.3	C2	2
Centroid3.2	WYM39.3	BB05.3	WYM39.3	C1	2
Centroid3.2	AE50.3	BB30.3	BB30.3	C2	2
Centroid3.2	AE50.3	BB30.3	BB30.3	C2	2
Centroid3.2	WYM39.3	SAC14.3	SAC14.3	C2	2
Centroid3.2	WYM39.3	SAC15.3	SAC15.3	C2	2
Centroid3.2	AE50.3	SAC16.3	SAC16.3	C2	2
Centroid3.2	AE50.3	BB58.3	BB58.3	C2	2
Centroid3.2	AE50.3	BB30.3	BB30.3	C2	2
Centroid3.2	WYM39.3	BB100.3	BB100.3	C2	2
Centroid3.2	WYM39.3	WEL16.3	WYM39.3	C1	2
Centroid3.2	WYM39.3	BB05.3	WYM39.3	C1	2
Centroid3.2	WYM39.3	WEL10.3	WYM39.3	C1	2
Centroid3.2	WYM39.3	WEL16.3	WYM39.3	C1	2
Centroid3.2	AE50.3	BB30.3	BB30.3	C2	2
Centroid3.2	WYM39.3	SAC06.3	WYM39.3	C1	2
Centroid3.2	AE50.3	PH09.3	PH09.3	C2	2
Centroid3.2	AE50.3	BB30.3	BB30.3	C2	2
Centroid3.2	AE50.3	BB58.3	BB58.3	C2	2
Centroid3.2	AE50.3	BB58.3	BB58.3	C2	2
Centroid3.2	AE50.3	WEL21.3	WEL21.3	C2	2
Centroid3.2	AE50.3	BB30.3	BB30.3	C2	2
Centroid3.2	WYM39.3	WEL16.3	WYM39.3	C1	2
Centroid3.2	WYM39.3	WEL08.3	WYM39.3	C1	2
Centroid3.2	AE50.3	BB30.3	BB30.3	C2	2
Centroid3.2	AE50.3	BB58.3	BB58.3	C2	2
Centroid3.2	AE50.3	BB30.3	BB30.3	C2	2
Centroid3.2	AE50.3	BB57.3	BB57.3	C2	2
Centroid3.2	WYM39.3	SAC01.3	WYM39.3	C1	2
Centroid3.2	AE50.3	BB28.3	BB28.3	C2	2
Centroid3.2	BB24.3	BB29.3	BB29.3	C2	2
Centroid3.1	WYT26.3	BB32.3	WYT26.3	C1	1
Centroid3.1	WYT44.3	CHE10.3	WYT44.3	C1	1
Centroid3.1	WF04.3	CHE04.3	WF04.3	C1	1
Centroid3.1	WF05.3	CHE04.3	WF05.3	C1	1
