id.DminToC	id.DminToBdC1.1	id.DminToBdC1.2	id.minDistToBd	id.class.minDistToBd	Class
Centroid1.1	WYT09.1	PH09.1	WYT09.1	C1	1
Centroid1.1	BB06.1	BB29.1	BB06.1	C1	1
Centroid1.1	WiW51.1	CHE13.1	WiW51.1	C1	1
Centroid1.2	WYT09.1	PH09.1	WYT09.1	C1	none
Centroid1.1	AE103.1	WP13.1	AE103.1	C1	1
Centroid1.1	WiW11.1	WiW18.1	WiW11.1	C1	1
Centroid1.1	WYM39.1	SAC07.1	SAC07.1	C2	1
Centroid1.1	WYT56.1	CHE13.1	WYT56.1	C1	1
Centroid1.1	WYM39.1	CHE13.1	WYM39.1	C1	1
Centroid1.2	BB06.1	PH09.1	BB06.1	C1	1
Centroid1.1	WYT09.1	PH09.1	WYT09.1	C1	1
Centroid1.1	OWW13.1	CHE13.1	OWW13.1	C1	1
Centroid1.2	WYT09.1	BB02.1	BB02.1	C2	2
Centroid1.1	WYM39.1	PH09.1	WYM39.1	C1	1
Centroid1.1	BB05.1	WiW18.1	BB05.1	C1	none
Centroid1.1	BB06.1	PH09.1	BB06.1	C1	2
Centroid1.1	BB07.1	WiW18.1	BB07.1	C1	1
Centroid1.1	BB09.1	WiW18.1	BB09.1	C1	1
Centroid1.2	WYT09.1	BB18.1	BB18.1	C2	2
Centroid1.1	BB11.1	CHE03.1	BB11.1	C1	1
Centroid1.1	BB12.1	CHE11.1	BB12.1	C1	1
Centroid1.1	BB06.1	PH09.1	BB06.1	C1	1
Centroid1.1	BB14.1	PH05.1	BB14.1	C1	none
Centroid1.1	BB15.1	WiW18.1	BB15.1	C1	1
Centroid1.1	BB16.1	PH05.1	BB16.1	C1	2
Centroid1.1	BB17.1	PH05.1	BB17.1	C1	1
Centroid1.1	BWd02.1	BB18.1	BB18.1	C2	2
Centroid1.1	WYT09.1	PH09.1	WYT09.1	C1	1
Centroid1.1	SP09.1	CHE02.1	SP09.1	C1	none
Centroid1.1	WiW11.1	WiW18.1	WiW11.1	C1	none
Centroid1.1	WYM39.1	PH09.1	WYM39.1	C1	1
Centroid1.1	BB23.1	BB31.1	BB23.1	C1	none
Centroid1.1	WYT26.1	PH05.1	WYT26.1	C1	1
Centroid1.1	WiW47.1	BB26.1	WiW47.1	C1	2
Centroid1.2	BB06.1	PH09.1	BB06.1	C1	none
Centroid1.1	WP08.1	PH05.1	WP08.1	C1	1
Centroid1.1	SP08.1	PH02.1	SP08.1	C1	none
Centroid1.1	SP02.1	CHE12.1	CHE12.1	C2	2
Centroid1.2	BB40.1	CHE10.1	CHE10.1	C2	none
Centroid1.2	AE50.1	BB27.1	BB27.1	C2	1
Centroid1.2	WYM39.1	BB31.1	BB31.1	C2	2
Centroid1.2	AE50.1	BB27.1	BB27.1	C2	1
Centroid1.1	BB35.1	BB57.1	BB35.1	C1	2
Centroid1.1	BWd01.1	CHE09.1	BWd01.1	C1	1
Centroid1.1	SAC08.1	PH05.1	SAC08.1	C1	none
Centroid1.1	BWd03.1	WiW18.1	BWd03.1	C1	1
Centroid1.1	BWd04.1	BB61.1	BWd04.1	C1	1
Centroid1.1	BWd05.1	WP12.1	BWd05.1	C1	1
Centroid1.1	WiW28.1	PH05.1	WiW28.1	C1	1
Centroid1.1	LW01.1	CHE09.1	LW01.1	C1	1
Centroid1.1	LW03.1	WiW18.1	LW03.1	C1	1
Centroid1.1	LW04.1	WiW18.1	LW04.1	C1	1
Centroid1.1	LW05.1	BB61.1	LW05.1	C1	1
Centroid1.1	LW06.1	CHE09.1	LW06.1	C1	1
Centroid1.1	WP11.1	WiW18.1	WP11.1	C1	1
Centroid1.1	LW08.1	CHE09.1	LW08.1	C1	1
Centroid1.1	WiW49.1	PH24.1	WiW49.1	C1	1
Centroid1.1	LW10.1	PH04.1	LW10.1	C1	1
Centroid1.1	WiW31.1	PH04.1	WiW31.1	C1	1
Centroid1.1	LW12.1	CHE09.1	LW12.1	C1	1
Centroid1.1	OWW01.1	CHE09.1	OWW01.1	C1	1
Centroid1.1	OWW02.1	CHE09.1	OWW02.1	C1	1
Centroid1.1	OWW04.1	WiW18.1	OWW04.1	C1	1
Centroid1.1	WiW42.1	PH05.1	WiW42.1	C1	1
Centroid1.1	OWW07.1	CHE09.1	OWW07.1	C1	1
Centroid1.1	OWW07.1	CHE09.1	OWW07.1	C1	1
Centroid1.1	OWW08.1	WiW18.1	OWW08.1	C1	1
Centroid1.1	OWW09.1	WP13.1	OWW09.1	C1	1
Centroid1.1	OWW11.1	WiW18.1	OWW11.1	C1	none
Centroid1.1	BB16.1	PH05.1	BB16.1	C1	1
Centroid1.1	OWW13.1	PH09.1	OWW13.1	C1	1
Centroid1.1	OWW14.1	CHE13.1	OWW14.1	C1	1
Centroid1.1	OWW15.1	PH16.1	OWW15.1	C1	1
Centroid1.1	OWW16.1	PH05.1	OWW16.1	C1	1
Centroid1.1	WP11.1	WiW18.1	WP11.1	C1	2
Centroid1.1	LW08.1	PH02.1	LW08.1	C1	2
Centroid1.1	WiW49.1	PH05.1	WiW49.1	C1	2
Centroid1.1	AE50.1	BB27.1	BB27.1	C2	2
Centroid1.1	LW11.1	PH05.1	PH05.1	C2	2
Centroid1.1	LW12.1	CHE09.1	LW12.1	C1	2
Centroid1.1	WYM39.1	PH09.1	WYM39.1	C1	2
Centroid1.2	BB63.1	PH02.1	PH02.1	C2	2
Centroid1.2	BB40.1	WEL24.1	WEL24.1	C2	2
Centroid1.2	BB40.1	BB58.1	BB58.1	C2	2
Centroid1.2	BB40.1	PH20.1	PH20.1	C2	2
Centroid1.2	BB40.1	BB58.1	BB58.1	C2	2
Centroid1.2	WYM39.1	PH22.1	WYM39.1	C1	2
Centroid1.2	WYM39.1	PH09.1	WYM39.1	C1	2
Centroid1.2	BB40.1	BB58.1	BB58.1	C2	2
Centroid1.2	BB60.1	BB31.1	BB31.1	C2	2
Centroid1.2	BB63.1	PH02.1	PH02.1	C2	2
Centroid1.2	BB40.1	CHE10.1	CHE10.1	C2	2
Centroid1.2	BB40.1	BB58.1	BB58.1	C2	2
Centroid1.2	BB40.1	CHE10.1	CHE10.1	C2	2
Centroid1.2	BB40.1	CHE07.1	CHE07.1	C2	2
Centroid1.2	AE50.1	PH24.1	PH24.1	C2	2
Centroid1.1	WYT09.1	PH09.1	WYT09.1	C1	none
Centroid1.2	BB63.1	PH02.1	PH02.1	C2	2
Centroid1.1	WYM39.1	PH02.1	WYM39.1	C1	2
Centroid1.2	WYM39.1	WEL08.1	WYM39.1	C1	2
Centroid1.2	WYM39.1	WEL22.1	WEL22.1	C2	2
Centroid1.2	AE50.1	BB27.1	BB27.1	C2	2
Centroid1.2	AE50.1	BB27.1	BB27.1	C2	2
Centroid1.2	BB06.1	PH09.1	BB06.1	C1	none
Centroid1.2	BB63.1	PH02.1	PH02.1	C2	2
Centroid1.2	WYT09.1	PH09.1	WYT09.1	C1	2
Centroid1.2	AE50.1	BB27.1	BB27.1	C2	2
Centroid1.2	AE50.1	BB27.1	BB27.1	C2	2
Centroid1.2	WYT09.1	SAC14.1	SAC14.1	C2	2
Centroid1.1	WYM39.1	SAC15.1	SAC15.1	C2	2
Centroid1.2	AE50.1	BB27.1	BB27.1	C2	2
Centroid1.2	BB40.1	BB58.1	BB58.1	C2	2
Centroid1.2	AE50.1	BB27.1	BB27.1	C2	2
Centroid1.2	BB63.1	PH02.1	PH02.1	C2	2
Centroid1.2	WYT09.1	PH09.1	WYT09.1	C1	2
Centroid1.2	WYT09.1	PH09.1	WYT09.1	C1	2
Centroid1.2	WYM39.1	PH09.1	WYM39.1	C1	2
Centroid1.2	WYT09.1	PH09.1	WYT09.1	C1	2
Centroid1.2	AE50.1	BB27.1	BB27.1	C2	2
Centroid1.1	WYT09.1	WEL08.1	WYT09.1	C1	2
Centroid1.2	WYM39.1	WEL22.1	WEL22.1	C2	2
Centroid1.2	AE50.1	BB27.1	BB27.1	C2	2
Centroid1.2	BB40.1	BB58.1	BB58.1	C2	2
Centroid1.2	BB40.1	BB58.1	BB58.1	C2	2
Centroid1.2	BB40.1	WEL21.1	WEL21.1	C2	2
Centroid1.2	AE50.1	BB27.1	BB27.1	C2	2
Centroid1.2	WYM39.1	WEL22.1	WYM39.1	C1	2
Centroid1.2	WYM39.1	WEL22.1	WYM39.1	C1	2
Centroid1.2	AE50.1	BB27.1	BB27.1	C2	2
Centroid1.2	BB40.1	BB58.1	BB58.1	C2	2
Centroid1.2	AE50.1	BB27.1	BB27.1	C2	2
Centroid1.2	AE50.1	WEL22.1	WEL22.1	C2	2
Centroid1.2	WYT09.1	WEL08.1	WEL08.1	C2	2
Centroid1.2	BB40.1	CHE07.1	CHE07.1	C2	2
Centroid1.1	WEL26.1	WEL02.1	WEL26.1	C1	2
Centroid1.1	WF01.1	PH05.1	WF01.1	C1	1
Centroid1.1	WF02.1	BB61.1	WF02.1	C1	1
Centroid1.1	WF04.1	CHE09.1	WF04.1	C1	1
Centroid1.1	WF05.1	CHE09.1	WF05.1	C1	1
Centroid1.1	WF06.1	PH05.1	WF06.1	C1	1
Centroid1.1	WF07.1	CHE09.1	WF07.1	C1	1
Centroid1.1	LW02.1	SAC02.1	LW02.1	C1	1
Centroid1.1	WiW02.1	BB61.1	WiW02.1	C1	1
Centroid1.1	WiW44.1	WP13.1	WiW44.1	C1	1
Centroid1.1	WiW05.1	WiW18.1	WiW05.1	C1	1
Centroid1.1	WiW05.1	WiW18.1	WiW05.1	C1	1
Centroid1.1	WiW06.1	PH05.1	WiW06.1	C1	1
Centroid1.1	WiW07.1	PH02.1	WiW07.1	C1	1
Centroid1.1	BWd08.1	PH05.1	BWd08.1	C1	1
Centroid1.1	WiW48.1	WiW18.1	WiW48.1	C1	1
Centroid1.1	WYM02.1	WiW18.1	WYM02.1	C1	1
Centroid1.1	WiW31.1	BB26.1	WiW31.1	C1	1
Centroid1.1	WiW14.1	WiW18.1	WiW14.1	C1	1
Centroid1.1	WiW15.1	CHE12.1	WiW15.1	C1	1
Centroid1.1	WiW16.1	CHE13.1	WiW16.1	C1	1
Centroid1.1	WiW17.1	PH05.1	WiW17.1	C1	1
Centroid1.1	WYM39.1	PH09.1	WYM39.1	C1	none
Centroid1.1	WiW19.1	WiW18.1	WiW19.1	C1	1
Centroid1.1	WiW20.1	CHE13.1	WiW20.1	C1	1
Centroid1.1	SAC08.1	PH05.1	SAC08.1	C1	1
Centroid1.1	WiW23.1	CHE03.1	WiW23.1	C1	1
Centroid1.1	WiW24.1	PH05.1	WiW24.1	C1	1
Centroid1.1	WiW25.1	CHE13.1	WiW25.1	C1	1
Centroid1.1	WiW26.1	BB29.1	WiW26.1	C1	1
Centroid1.1	WP08.1	PH05.1	WP08.1	C1	1
Centroid1.1	WiW28.1	PH05.1	WiW28.1	C1	1
Centroid1.1	WiW29.1	CHE09.1	WiW29.1	C1	1
Centroid1.1	WiW30.1	CHE09.1	WiW30.1	C1	none
Centroid1.1	WiW31.1	PH05.1	WiW31.1	C1	1
Centroid1.1	SAC08.1	PH05.1	SAC08.1	C1	1
Centroid1.1	WiW33.1	PH05.1	WiW33.1	C1	1
Centroid1.1	WiW34.1	WEL04.1	WiW34.1	C1	1
Centroid1.1	WYT94.1	SAC02.1	WYT94.1	C1	1
Centroid1.1	WiW37.1	SAC02.1	WiW37.1	C1	1
Centroid1.1	WiW38.1	SAC02.1	WiW38.1	C1	1
Centroid1.1	WiW40.1	SAC02.1	WiW40.1	C1	1
Centroid1.1	WP09.1	WP12.1	WP09.1	C1	none
Centroid1.1	WiW43.1	BB61.1	WiW43.1	C1	none
Centroid1.1	WiW44.1	WiW18.1	WiW44.1	C1	none
Centroid1.1	WiW45.1	WiW18.1	WiW45.1	C1	none
Centroid1.1	WiW46.1	BB18.1	WiW46.1	C1	none
Centroid1.1	WiW47.1	CHE11.1	WiW47.1	C1	none
Centroid1.1	WiW48.1	WiW18.1	WiW48.1	C1	none
