sample	Centroid2.1	Centroid2.2	maxDistToC	minDistToC	meanDistToC	diffDistToC	diffDistRelToC	id.DmaxToC	id.DminToC	maxDistToBdC2.1	minDistToBdC2.1	meanDistToBdC2.1	diffDistToBdC2.1	diffDistRelToBdC2.1	id.DmaxToBdC2.1	id.DminToBdC2.1	maxDistToBdC2.2	minDistToBdC2.2	meanDistToBdC2.2	diffDistToBdC2.2	diffDistRelToBdC2.2	id.DmaxToBdC2.2	id.DminToBdC2.2	maxDistToBd	minDistToBd	meanDistToBd	diffDistToBd	diffRelDistToBd	id.minDistToBd	id.maxDistToBd	id.class.minDistToBd	id.class.maxDistToBd	Nsame.class	Class
AE05	0.742589803456213	0.768743150742142	0.768743150742142	0.742589803456213	0.755666477099177	0.0261533472859291	0.0346096433790811	Centroid2.2	Centroid2.1	0.821874225925523	0.655511026746761	0.769225094776692	0.166363199178762	0.216273754338523	AE148.2	WYM39.2	0.813296204202835	0.674181263792829	0.78387338919127	0.139114940410006	0.177471186454655	BB88.2	BB06.2	0.674181263792829	0.655511026746761	0.664846145269795	0.0186702370460675	0.0284819572581809	WYM39.2	BB06.2	C1	C2	4	1
AE101	0.691452422880628	0.730350914353283	0.730350914353283	0.691452422880628	0.710901668616956	0.038898491472655	0.0547171193849231	Centroid2.2	Centroid2.1	0.819991829949286	0.654059690395999	0.740503560628582	0.165932139553288	0.224080137322277	AE148.2	WYM39.2	0.814009242945341	0.663819032082233	0.757209198147342	0.150190210863108	0.1983470502347	BB88.2	BB06.2	0.663819032082233	0.654059690395999	0.658939361239116	0.00975934168623371	0.0149211789528337	WYM39.2	BB06.2	C1	C2	4	1
AE103	0.74379788663861	0.788031912364261	0.788031912364261	0.74379788663861	0.765914899501436	0.0442340257256507	0.0577531860973646	Centroid2.2	Centroid2.1	0.823785148833385	0.726412216889768	0.76794357669143	0.0973729319436176	0.126796987303591	AE148.2	OWW09.2	0.82047007961313	0.749493092089135	0.793254204294598	0.0709769875239946	0.0894757155269173	BB88.2	BWd02.2	0.749493092089135	0.726412216889768	0.737952654489451	0.0230808751993677	0.0317737982136254	OWW09.2	BWd02.2	C1	C2	4	1
AE126	0.800198301145755	0.80156707434719	0.80156707434719	0.800198301145755	0.800882687746472	0.0013687732014348	0.00170908077097566	Centroid2.2	Centroid2.1	0.827584394563413	0.728184929408257	0.808723960180766	0.0993994651551559	0.122909014755712	AE148.2	WYM39.2	0.826581576155225	0.727085231162147	0.809155645444074	0.0994963449930775	0.122963172231806	PH11.2	BB06.2	0.728184929408257	0.727085231162147	0.727635080285202	0.00109969824610967	0.00151247501527703	BB06.2	WYM39.2	C2	C1	2	none
AE155	0.721562966976118	0.7894586163481	0.7894586163481	0.721562966976118	0.755510791662109	0.0678956493719813	0.0898672131772098	Centroid2.2	Centroid2.1	0.822673940091577	0.592459167340659	0.750295259778361	0.230214772750918	0.306832236710284	AE148.2	WP02.2	0.820059274374453	0.707002225125577	0.786510571833207	0.113057049248876	0.143745110743218	WEL05.2	AE116.2	0.707002225125577	0.592459167340659	0.649730696233118	0.114543057784918	0.193334940362324	WP02.2	AE116.2	C1	C2	4	1
AE172	0.739084610655099	0.792696056216224	0.792696056216224	0.739084610655099	0.765890333435661	0.0536114455611252	0.0699988539098448	Centroid2.2	Centroid2.1	0.82073060334303	0.732415296848151	0.767740542353347	0.0883153064948784	0.115032750809494	AE148.2	WiW11.2	0.82389445591245	0.763772831107993	0.801830991984334	0.0601216248044565	0.0749804203198361	WEL05.2	SP01.2	0.763772831107993	0.732415296848151	0.748094063978072	0.0313575342598421	0.0428138713033233	WiW11.2	SP01.2	C1	C2	4	1
AE22	0.799479568328461	0.811726382790736	0.811726382790736	0.799479568328461	0.805602975559599	0.0122468144622747	0.0152020472041674	Centroid2.2	Centroid2.1	0.826458643056769	0.788573634156797	0.807320827282849	0.0378850088999719	0.0469268320841904	AE148.2	OWW14.2	0.827853985223138	0.799005874731014	0.815976476097023	0.0288481104921233	0.0353540957824049	WEL05.2	BWd02.2	0.799005874731014	0.788573634156797	0.793789754443906	0.0104322405742175	0.0132292535818453	OWW14.2	BWd02.2	C1	C2	4	1
AE23	0.764874962862182	0.797768515239506	0.797768515239506	0.764874962862182	0.781321739050844	0.0328935523773246	0.0420998811799144	Centroid2.2	Centroid2.1	0.821996784496221	0.740608642305652	0.781968562072203	0.0813881421905696	0.104081092435343	AE148.2	BWd07.2	0.820197163139636	0.770412390159654	0.803108980657908	0.0497847729799813	0.0619900588575134	WEL26.2	BWd02.2	0.770412390159654	0.740608642305652	0.755510516232653	0.0298037478540025	0.0402422361170644	BWd07.2	BWd02.2	C1	C2	4	1
AE26	0.770906548328334	0.80168052323104	0.80168052323104	0.770906548328334	0.786293535779687	0.0307739749027057	0.0391380235272955	Centroid2.2	Centroid2.1	0.824339137286263	0.74421547838314	0.787216623287567	0.0801236589031239	0.10178095397492	AE148.2	WYM39.2	0.826272806071437	0.75200545113173	0.804155673798214	0.0742673549397068	0.0923544499647995	WEL05.2	BB06.2	0.75200545113173	0.74421547838314	0.748110464757435	0.00778997274859083	0.0104673619064133	WYM39.2	BB06.2	C1	C2	4	1
AE27	0.776201259563851	0.766604725096638	0.776201259563851	0.766604725096638	0.771402992330245	0.00959653446721209	0.0124403645858606	Centroid2.1	Centroid2.2	0.825538221101715	0.633741964221493	0.792177384114569	0.191796256880222	0.242112765052736	AE148.2	WYM39.2	0.819176297961178	0.632611803006936	0.786315913537496	0.186564494954242	0.23726404583995	PH11.2	BB06.2	0.633741964221493	0.632611803006936	0.633176883614214	0.00113016121455789	0.00178650036117884	BB06.2	WYM39.2	C2	C1	4	1
