P_obs_class1	5%_class1	95%_class1	sig_class1	P_obs_class2	5%_class2	95%_class2	sig_class2	P_obs_classmix	5%_classmix	95%_classmix	sig_classmix	high_class	prop_sig	prop_sig_class
ASV_1	0.0329979987600701	0.0219380627411478	0.0459790364493976	1	-0.0419650397133851	-0.0785544871456771	-0.00717385825808603	-1	0.0135799129029686	-0.00535407954685962	0.0308371795635329	0	class1	FALSE	none
ASV_2	0.401548522111735	0.351576016845961	0.449250953756094	1	-0.612631704899233	-0.812479692136918	-0.456421608509257	-1	0.0537172825059877	-0.0302113663700185	0.135089111386705	0	class1	TRUE	class1
ASV_3	0.189104059090686	0.157357360778105	0.221362822950453	1	-0.257404362918311	-0.350861540524588	-0.160139661419946	-1	0.0504737278654082	-0.000916805329146951	0.103795617265821	0	class1	TRUE	class1
ASV_4	0.482573581262137	0.381306557902322	0.581816867885919	1	0.425715242443195	0.282994960113997	0.559563976965579	1	0.596161539974397	0.493101232114254	0.70044925355936	1	classmix	FALSE	none
ASV_5	0.141235134427907	0.116028790121256	0.166763217878102	1	-0.0819084168863027	-0.149262645008096	-0.0180289069916127	-1	-0.0212837950698681	-0.0712918579435376	0.0299464980145159	0	class1	TRUE	class1
ASV_6	0.484241803969354	0.423099165590708	0.544126241972594	1	-1.12746625699929	-1.45045547465011	-0.884411151727166	-1	0.312072618639418	0.236983916591192	0.392300211096052	1	class1	TRUE	class1
ASV_7	0.142745250258169	0.115831756727102	0.174429081189485	1	-0.0010637251245933	-0.0613811862155294	0.0560116645013972	0	-0.0491548329915275	-0.108533797308542	0.00482274666788635	0	class1	TRUE	class1
ASV_8	0.214166764481274	0.171381845569696	0.262597642966284	1	0.127155387491644	0.0560753593490373	0.194587164478963	1	0.0403329928327292	-0.03197243815955	0.1152701756988	0	class1	FALSE	none
ASV_9	0.457714480304646	0.407825272256653	0.512765046603898	1	-1.17076182553288	-1.44908103039133	-0.937733238917321	-1	0.110172019929186	0.0186546859439252	0.193738280467023	1	class1	TRUE	class1
ASV_10	0.470845900560639	0.413887743712961	0.531683797999403	1	-1.03077147037477	-1.31444876153188	-0.799172407629851	-1	0.232332851915328	0.154729538250895	0.314735235859699	1	class1	TRUE	class1
ASV_11	0.684941906577512	0.62020148745236	0.758436966359208	1	-1.78524657073647	-2.30174472585711	-1.42583802668039	-1	0.0600015834425742	-0.0665290249956312	0.18201540958254	0	class1	TRUE	class1
ASV_13	0.735724290767915	0.562606138672174	0.896173279597609	1	1.61161595052186	1.4667544213081	1.75833133753046	1	0.883888436365135	0.687703955427791	1.0650072983535	1	class2	TRUE	class2
ASV_14	0.330357635621359	0.290020829191295	0.375674676168238	1	-0.413433277757341	-0.557426469484299	-0.277054775144895	-1	0.0455205153018094	-0.028589293739077	0.124654399491627	0	class1	TRUE	class1
ASV_15	0.509498054994918	0.455689748218461	0.56890246272139	1	-0.729666377590851	-0.936177031089561	-0.547502232656302	-1	0.0144663577019617	-0.0915495946160692	0.118261000174434	0	class1	TRUE	class1
ASV_16	0.264103053555957	0.228023416955308	0.303442535770148	1	-0.327654901123282	-0.453036926738287	-0.214584221422143	-1	0.0373766374063922	-0.0252366863089673	0.105549440367282	0	class1	TRUE	class1
ASV_17	0.274687845219008	0.188301266182054	0.359610603132571	1	0.652215603003035	0.562725739422407	0.743525102887921	1	0.609151898570586	0.521411462451074	0.703790681251106	1	class2	FALSE	none
ASV_18	0.121130162797786	0.0945945822468052	0.145603040628699	1	0.0079029436772633	-0.0457474681335952	0.0566931078466955	0	-0.0597172439977158	-0.11866202846712	-0.0100636323041409	-1	class1	TRUE	class1
ASV_19	0.148421034591614	0.121543979413526	0.178674393185781	1	-0.0701667001867354	-0.136689352002723	-0.00755564674767838	-1	-0.0232097170989645	-0.0808654617045343	0.0316096974260838	0	class1	TRUE	class1
ASV_20	2.14876504633231	1.88516160866661	2.40973320278816	1	-0.048459531003914	-1.32463433775775	0.659372201238953	0	1.6632572305506	1.28856378110919	2.00459656775688	1	class1	FALSE	none
ASV_21	0.797093750035475	0.710026065135899	0.893229783469626	1	-1.41417318442378	-1.91284972142213	-1.08237444226594	-1	0.35423892080728	0.209975778971968	0.491647681962092	1	class1	TRUE	class1
ASV_22	0.266175600020859	0.224799559570329	0.306629309516984	1	-0.256582083191407	-0.377683479158612	-0.146625079524631	-1	0.0688403172432206	0.00575738324765481	0.133718609318727	1	class1	TRUE	class1
ASV_23	0.0246082809376201	-0.00420526031786961	0.0519435873504982	0	0.0968531878109491	0.075970226370111	0.119886071934067	1	0.0735058238139576	0.0472645655597444	0.100406670571073	1	class2	FALSE	none
ASV_24	0.516794957114536	0.465403722912848	0.571741733154139	1	-1.40740265001015	-1.75636366483292	-1.14750815213345	-1	0.0787638201995915	-0.0221635668728175	0.174802379091636	0	class1	TRUE	class1
ASV_25	0.505781548348726	0.445929651926148	0.572096072167628	1	-0.120226329373591	-0.269863502515191	0.0217043291421036	0	0.0084857768149833	-0.107949772607088	0.126647809243579	0	class1	TRUE	class1
ASV_26	0.303813756871231	0.262413107716604	0.349393591722497	1	-0.116559434325219	-0.216022220100537	-0.0209131986604116	-1	-0.0644303688902723	-0.147448651925071	0.0203816656133023	0	class1	TRUE	class1
ASV_27	0.652440568339196	0.527433126244007	0.782034114530517	1	0.837901845137819	0.678769267688578	0.999074469161894	1	1.02154878317284	0.880828722861207	1.16235091098932	1	classmix	FALSE	none
ASV_28	0.0454722888302898	0.00602169299390181	0.0839979015665298	1	0.157876901993915	0.122844228049594	0.191503780008396	1	0.139455328426552	0.103756470605679	0.177215631165476	1	class2	FALSE	none
ASV_29	0.0109554149055442	-0.00347699156739766	0.0251537676262262	0	0.0237335085242856	0.00709166652841997	0.0385509870566545	1	0.0176990074534329	0.000682585849901329	0.0342079580032381	1	class2	FALSE	none
ASV_30	0.0702877891169086	0.0253646811296908	0.112402231003855	1	0.202854897276992	0.159416710851988	0.243906935940819	1	0.163405586568709	0.120578637025447	0.208310040027247	1	class2	FALSE	none
ASV_31	0.932417068073924	0.830311853555991	1.04489161458305	1	-1.80915582506693	-2.54392606089562	-1.36830076198407	-1	0.444158218920333	0.293957664153028	0.607236647660344	1	class1	TRUE	class1
ASV_32	0.100478943449389	0.0493470038371848	0.151468655852362	1	0.30114963891154	0.254043923867375	0.344929018015562	1	0.219677338428409	0.163781917958055	0.271155053900602	1	class2	FALSE	none
ASV_33	1.53958590597708	1.25480035010614	1.83382418490137	1	2.4070864736818	2.0785415494479	2.71566374462132	1	1.9774862898384	1.6507178691694	2.27698341139395	1	class2	FALSE	none
ASV_34	0.718109442150562	0.649184837142076	0.796581841024557	1	-1.0411407485122	-1.39355389722105	-0.775944796838051	-1	0.0402297337214055	-0.101971554093224	0.176593945028684	0	class1	TRUE	class1
