Rep1.Par1	Rep2.Par1	Rep3.Par1	Rep4.Par1	Rep2.Par2	Rep3.Par2	Rep4.Par2	Rep1.Par2	Rep0.Par1	Rep0.Par2	Rep0.Par3	Rep0.Par4	Rep0.Par5	Rep0.Par6
Rep1.Par1	0.654995762699264	0.638711538583853	0.629808722110094	0.643950245818523	0.766231183812759	0.768164033413352	0.773872846126969	0.773209021797816	0.677095888492942	0.762716929797167	0.792728505969892	0.701485840532861	0.787673675806014	0.799556927637815
Rep2.Par1	0.638711538583853	0.620314254586854	0.610324187829135	0.627165742718608	0.759589674319125	0.760895760260398	0.767876115708394	0.767450673569442	0.668744456192621	0.755289124762099	0.787019671578601	0.689524321829364	0.782004093311879	0.796102357642337
Rep3.Par1	0.629808722110094	0.610324187829135	0.597331735433683	0.617973049689749	0.762313996006265	0.762819612887945	0.771356501849978	0.7704409107954	0.655773417256799	0.751017634856318	0.787344273147327	0.680097866688115	0.780818954037439	0.794698475645006
Rep4.Par1	0.643950245818523	0.627165742718608	0.617973049689749	0.631742342480224	0.763601700650453	0.765223653395889	0.77096074362179	0.771117085696381	0.669727598481962	0.760227482335164	0.789508626518917	0.696271453347558	0.786193949401377	0.798568615552026
Rep2.Par2	0.766231183812759	0.759589674319125	0.762313996006265	0.763601700650453	0.669649952777728	0.687302338981145	0.6676989618199	0.680762475892326	0.782100509369994	0.768129879343917	0.787058472468773	0.787700551762554	0.781357126554747	0.804309221552355
Rep3.Par2	0.768164033413352	0.760895760260398	0.762819612887945	0.765223653395889	0.687302338981145	0.701947107989609	0.688598152759318	0.697103590878756	0.782094748733354	0.758572298869024	0.786502596307048	0.786222262771141	0.775952594955331	0.804560155053614
Rep4.Par2	0.773872846126969	0.767876115708394	0.771356501849978	0.77096074362179	0.6676989618199	0.688598152759318	0.666694147082027	0.680153740719936	0.790779360678739	0.779014440486596	0.789426277715937	0.794118560998187	0.786835532013061	0.808229204533695
Rep1.Par2	0.773209021797816	0.767450673569442	0.7704409107954	0.771117085696381	0.680762475892326	0.697103590878756	0.680153740719936	0.68605018756765	0.790220652808177	0.783064341788476	0.788215182773455	0.790990349382975	0.792549597887654	0.811158954084408
Rep0.Par1	0.677095888492942	0.668744456192621	0.655773417256799	0.669727598481962	0.782100509369994	0.782094748733354	0.790779360678739	0.790220652808177	0.654774199467282	0.738910621534056	0.788198901294463	0.714961624274149	0.781095581371138	0.789674393342999
Rep0.Par2	0.762716929797167	0.755289124762099	0.751017634856318	0.760227482335164	0.768129879343917	0.758572298869024	0.779014440486596	0.783064341788476	0.738910621534056	0.577332021099422	0.780595631383639	0.762348270232093	0.780932011778036	0.784955972179089
Rep0.Par3	0.792728505969892	0.787019671578601	0.787344273147327	0.789508626518917	0.787058472468773	0.786502596307048	0.789426277715937	0.788215182773455	0.788198901294463	0.780595631383639	0.720869675242403	0.788483243865725	0.788401228279356	0.803497611453463
Rep0.Par4	0.701485840532861	0.689524321829364	0.680097866688115	0.696271453347558	0.787700551762554	0.786222262771141	0.794118560998187	0.790990349382975	0.714961624274149	0.762348270232093	0.788483243865725	0.695265777872687	0.778534907317216	0.800086664484214
Rep0.Par5	0.787673675806014	0.782004093311879	0.780818954037439	0.786193949401377	0.781357126554747	0.775952594955331	0.786835532013061	0.792549597887654	0.781095581371138	0.780932011778036	0.788401228279356	0.778534907317216	0.581223876336759	0.798486561219129
Rep0.Par6	0.799556927637815	0.796102357642337	0.794698475645006	0.798568615552026	0.804309221552355	0.804560155053614	0.808229204533695	0.811158954084408	0.789674393342999	0.784955972179089	0.803497611453463	0.800086664484214	0.798486561219129	0.480222230724781
