sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Part_Time0D_17	Part_Time0D_6	Part_Time4M_64	Part_Time7D_rep1_2	Part_Time7D_rep2_2	Part_Time7D_rep3_2	Part_Time7D_rep4_2	replicate.partition	partition	Time0D_7D_4M	Time0D_7D	Time0D_7D_matched	ExpCompact	exp.replicate.partition	exp.partition	ancestral.class	Examples	startnone_final_class
B5.Riz1.SP04.2.Com	Riz1Rep2Com5	5	Rhizobium.1	Rep0	no	SP04	SilwoodPark	4M	NA	NA	7	NA	NA	NA	NA	Rep0.Class7	Class7	1	NA	NA	Evolved	Evolved.Rep0.Class7	Evolved.Class7	NA	 Other	Starting communities
B6.Riz1.WYC41.2.Com	Riz1Rep2Com6	6	Rhizobium.1	Rep0	no	WYC41	WythamWoods	4M	NA	NA	8	NA	NA	NA	NA	Rep0.Class8	Class8	1	NA	NA	Evolved	Evolved.Rep0.Class8	Evolved.Class8	3	 Other	Starting communities
B7.Riz1.WYC42.2.Com	Riz1Rep2Com7	7	Rhizobium.1	Rep0	no	WYC42	WythamWoods	4M	NA	NA	7	NA	NA	NA	NA	Rep0.Class7	Class7	1	NA	NA	Evolved	Evolved.Rep0.Class7	Evolved.Class7	3	 Other	Starting communities
B8.Riz1.WYM25.2.Com	Riz1Rep2Com8	8	Rhizobium.1	Rep0	no	WYM25	WythamWoods	4M	NA	NA	9	NA	NA	NA	NA	Rep0.Class9	Class9	1	NA	NA	Evolved	Evolved.Rep0.Class9	Evolved.Class9	3	 Other	Starting communities
C1.Nov2.AE103.1.Com	Novo2Rep1Com1	1	Novosphingobium.2 	Rep0	no	AE103	AshridgeEstate	4M	NA	NA	10	NA	NA	NA	NA	Rep0.Class10	Class10	1	NA	NA	Evolved	Evolved.Rep0.Class10	Evolved.Class10	4	 Other	Starting communities
C2.Nov2.BB22.1.Com	Novo2Rep1Com2	2	Novosphingobium.2 	Rep0	no	BB22	BurhamBeeches	4M	NA	NA	11	NA	NA	NA	NA	Rep0.Class11	Class11	1	NA	NA	Evolved	Evolved.Rep0.Class11	Evolved.Class11	3	 Other	Starting communities
C3.Nov2.SP02.1.Com	Novo2Rep1Com3	3	Novosphingobium.2	Rep0	no	SP02	SilwoodPark	4M	NA	NA	11	NA	NA	NA	NA	Rep0.Class11	Class11	1	NA	NA	Evolved	Evolved.Rep0.Class11	Evolved.Class11	NA	 Other	Starting communities
C4.Nov2.SP03.1.Com	Novo2Rep1Com4	4	Novosphingobium.2	Rep0	no	SP03	SilwoodPark	4M	NA	NA	11	NA	NA	NA	NA	Rep0.Class11	Class11	1	NA	NA	Evolved	Evolved.Rep0.Class11	Evolved.Class11	NA	 Other	Starting communities
C5.Nov2.SP04.1.Com	Novo2Rep1Com5	5	Novosphingobium.2	Rep0	no	SP04	SilwoodPark	4M	NA	NA	12	NA	NA	NA	NA	Rep0.Class12	Class12	1	NA	NA	Evolved	Evolved.Rep0.Class12	Evolved.Class12	NA	 Other	Starting communities
C6.Nov2.WYC41.1.Com	Novo2Rep1Com6	6	Novosphingobium.2	Rep0	no	WYC41	WythamWoods	4M	NA	NA	11	NA	NA	NA	NA	Rep0.Class11	Class11	1	NA	NA	Evolved	Evolved.Rep0.Class11	Evolved.Class11	3	 Other	Starting communities
C7.Nov2.WYC42.1.Com	Novo2Rep1Com7	7	Novosphingobium.2	Rep0	no	WYC42	WythamWoods	4M	NA	NA	13	NA	NA	NA	NA	Rep0.Class13	Class13	1	NA	NA	Evolved	Evolved.Rep0.Class13	Evolved.Class13	3	 Other	Starting communities
C8.Nov2.WYM25.1.Com	Novo2Rep1Com8	8	Novosphingobium.2	Rep0	no	WYM25	WythamWoods	4M	NA	NA	13	NA	NA	NA	NA	Rep0.Class13	Class13	1	NA	NA	Evolved	Evolved.Rep0.Class13	Evolved.Class13	3	 Other	Starting communities
D1.Nov2.AE103.2.Com	Novo2Rep2Com1	1	Novosphingobium.2	Rep0	no	AE103	AshridgeEstate	4M	NA	NA	14	NA	NA	NA	NA	Rep0.Class14	Class14	2	NA	NA	Evolved	Evolved.Rep0.Class14	Evolved.Class14	4	 Other	Starting communities
D2.Nov2.BB22.2.Com	Novo2Rep2Com2	2	Novosphingobium.2	Rep0	no	BB22	BurhamBeeches	4M	NA	NA	15	NA	NA	NA	NA	Rep0.Class15	Class15	1	NA	NA	Evolved	Evolved.Rep0.Class15	Evolved.Class15	3	 Other	Starting communities
D3.Nov2.SP02.2.Com	Novo2Rep2Com3	3	Novosphingobium.2	Rep0	no	SP02	SilwoodPark	4M	NA	NA	16	NA	NA	NA	NA	Rep0.Class16	Class16	1	NA	NA	Evolved	Evolved.Rep0.Class16	Evolved.Class16	NA	 Other	Starting communities
D4.Nov2.SP03.2.Com	Novo2Rep2Com4	4	Novosphingobium.2	Rep0	no	SP03	SilwoodPark	4M	NA	NA	17	NA	NA	NA	NA	Rep0.Class17	Class17	2	NA	NA	Evolved	Evolved.Rep0.Class17	Evolved.Class17	NA	 Other	Starting communities
D5.Nov2.SP04.2.Com	Novo2Rep2Com5	5	Novosphingobium.2	Rep0	no	SP04	SilwoodPark	4M	NA	NA	18	NA	NA	NA	NA	Rep0.Class18	Class18	1	NA	NA	Evolved	Evolved.Rep0.Class18	Evolved.Class18	NA	 Other	Starting communities
D6.Nov2.WYC41.2.Com	Novo2Rep2Com6	6	Novosphingobium.2	Rep0	no	WYC41	WythamWoods	4M	NA	NA	19	NA	NA	NA	NA	Rep0.Class19	Class19	1	NA	NA	Evolved	Evolved.Rep0.Class19	Evolved.Class19	3	 Other	Starting communities
D7.Nov2.WYC42.2.Com	Novo2Rep2Com7	7	Novosphingobium.2	Rep0	no	WYC42	WythamWoods	4M	NA	NA	19	NA	NA	NA	NA	Rep0.Class19	Class19	1	NA	NA	Evolved	Evolved.Rep0.Class19	Evolved.Class19	3	 Other	Starting communities
D8.Nov2.WYM25.2.Com	Novo2Rep2Com8	8	Novosphingobium.2	Rep0	no	WYM25	WythamWoods	4M	NA	NA	19	NA	NA	NA	NA	Rep0.Class19	Class19	1	NA	NA	Evolved	Evolved.Rep0.Class19	Evolved.Class19	3	 Other	Starting communities
