sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Part_Time0D_17	Part_Time0D_6	Part_Time4M_64	Part_Time7D_rep1_2	Part_Time7D_rep2_2	Part_Time7D_rep3_2	Part_Time7D_rep4_2	replicate.partition	partition	Time0D_7D_4M	Time0D_7D	Time0D_7D_matched
130	AE126.2	NA	NA	NA	2	NA	AE126	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	3	2	1
131	AE126.3	NA	NA	NA	3	NA	AE126	AshridgeEstate	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	3	2	2
132	AE126.4	NA	NA	NA	4	NA	AE126	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	3	2	2
133	AE148.1	NA	NA	NA	1	NA	AE148	AshridgeEstate	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	NA
134	AE148.2	NA	NA	NA	2	NA	AE148	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	NA
135	AE155.1	NA	NA	NA	1	NA	AE155	AshridgeEstate	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	1
136	AE155.2	NA	NA	NA	2	NA	AE155	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
137	AE155.3	NA	NA	NA	3	NA	AE155	AshridgeEstate	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	1
138	AE155.4	NA	NA	NA	4	NA	AE155	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
139	AE172.1	NA	NA	NA	1	NA	AE172	AshridgeEstate	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	1
140	AE172.2	NA	NA	NA	2	NA	AE172	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
141	AE172.3	NA	NA	NA	3	NA	AE172	AshridgeEstate	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	1
142	AE172.4	NA	NA	NA	4	NA	AE172	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
143	AE198.3	NA	NA	NA	3	NA	AE198	AshridgeEstate	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	2	1	NA
144	AE198.4	NA	NA	NA	4	NA	AE198	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	NA
145	AE22.1	NA	NA	NA	1	NA	AE22	AshridgeEstate	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	1
146	AE22.2	NA	NA	NA	2	NA	AE22	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
147	AE22.3	NA	NA	NA	3	NA	AE22	AshridgeEstate	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	1
148	AE22.4	NA	NA	NA	4	NA	AE22	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
149	AE23.1	NA	NA	NA	1	NA	AE23	AshridgeEstate	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	1
150	AE23.2	NA	NA	NA	2	NA	AE23	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
151	AE23.3	NA	NA	NA	3	NA	AE23	AshridgeEstate	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	1
152	AE23.4	NA	NA	NA	4	NA	AE23	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
153	AE26.1	NA	NA	NA	1	NA	AE26	AshridgeEstate	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	1	1	1
154	AE26.2	NA	NA	NA	2	NA	AE26	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	1	1	1
155	AE26.3	NA	NA	NA	3	NA	AE26	AshridgeEstate	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	1	1	1
156	AE26.4	NA	NA	NA	4	NA	AE26	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	1	1	1
157	AE27.1	NA	NA	NA	1	NA	AE27	AshridgeEstate	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	3	1	1
